Reference	Hypothesis	Count
הרסנית	ירסנית	1
ההתייקרויות	ההתייקרות	1
2000	<deleted>	1
ו2	<deleted>	1
עשרה	2012	1
סובל	סבל	1
הדיור	הטילו	1
תקווה	תכוון	1
שלם	שלנו	1
כלולים	פוגעים	1
גם	כאן	1
לקלוט	שקלות	1
בהכללה	בהקללה	1
רגאטון	ריגטון	1
נציגות	נציבות	1
הזוטר	אבוטר	1
ודחיית	ותחיית	1
נתמודד	מתמודד	1
כאן	גם	1
מעניינת	מעניינות	1
מיקרוספוט	מיקרוסופט	1
גיטהאב	גיטה	1
מליארדים	מיליארדים	1
ובעוני	וגורמי	1
נעורים	תמידון	1
היכן	איכה	1
נעורי	נעוריי	1
פתוח	פתור	1
<inserted>	כשהם	1
שמגיעים	מגיעים	1
בירה	פירה	1
ומכיוון	מכיוון	1
גם	שגם	1
שאם	אם	1
בשלושים	כ	1
ואחד	31	1
מאה	100	1
ויעקוב	ויעקב	1
פתע	פטר	1
שהצבעתו	כשהצבעתו	1
קווי	חווי	1
החודש	חודש	1
הכין	החל	1
עמיתי	אמיתי	1
ורעי	וראי	1
הכלכלה	הכלכולן	1
מצוקה	מציבה	1
האמנות	האומנות	1
הציונות	מציונות	1
לדוח	לדור	1
היריון	הריון	1
הבנה	הבנת	1
דובר	דיבר	1
מונטריות	מוניטריות	1
ומטרות	למטרות	1
מכם	מכן	1
פל2	פלי2	1
עויבד	עובד	1
גבוהה	גבוה	1
סדיר	קדימה	1
מוקצב	מוקצת	1
כך	ככה	1
לכזה	לחזה	1
ותקותך	ותקוותך	1
תכרת	תיכרת	1
ייפגע	יפגע	1
סוריים	סורים	1
מכתב	מפתב	1
עטרת	הפרס	1
תפארת	נשארת	1
צדקה	הפסקה	1
תמצא	תינוקה	1
לנשום	לבשו	1
המילואים	המדומים	1
עתירות	אחרים	1
פעלות	פעולות	1
לפעל	לפועל	1
מחירי	מחווה	1
הברזל	בארגן	1
הרסרים	הרסארים	1
הרבטים	הרבקים	1
תואר	תשועד	1
מקרה	<deleted>	1
פרטי	מקרבותית	1
מונע	מוני	1
דיכאון	הדיכאון	1
בכ20	בכ	1
ושלוש	23	1
אנטנה	<deleted>	1
אחת	ואנטנות	1
גדולה	חדשות	1
כולה	כולנו	1
נימצא	נמצא	1
<inserted>	פשוט	1
אלימות	המינות	1
ובהרג	ובהר	1
באורח	באורך	1
ובאדמתנו	ובאדמותינו	1
בה	<deleted>	1
הוא	באו	1
ייטול	<deleted>	1
עוד	יתרו	1
חלק	להתחיל	1
המס	המת	1
המציעים	המציבים	1
מציעים	מצביעים	1
יתערב	התערב	1
7ניינים	שבניינים	1
החורף	חומר	1
עתה	אתה	1
אסיים	אקיים	1
תוכנית	תכנית	1
סאטירית	ספירית	1
<inserted>	עד	1
במלא	לא	1
מובן	מורן	1
הפרטיקולרי	הפרטיסטורי	1
מצוות	נצחות	1
הרגו	הרגנו	1
שנה	שינה	1
תנו	אמרו	1
מלים	מילים	1
ההרגשות	הרגשות	1
ולחדול	ולחדור	1
נכלוליים	נחלוביים	1
<inserted>	צריך	1
שיחק	את	1
כלום	כלומר	1
מי	אם	1
הנך	אינך	1
מן	<deleted>	1
טבריה	מטבריה	1
ההרים	הערים	1
שבתוכם	שבתוכן	1
האדם	אדם	1
<inserted>	אומר	1
אומרת	את	1
<inserted>	כותב	1
כותבת	את	1
אכתוב	לכתוב	1
חדשים	חודשים	1
חפשתי	חיפשתי	1
יהלומים	אהלמים	1
הייתה	הולתה	1
בביתנו	ברעידון	1
חנוכת	לחנוכת	1
הקריאה	הפריעה	1
דני	דן	1
והעור	והאור	1
<inserted>	הרי	1
הריהו	הוא	1
לכך	לך	1
תום	דום	1
בקור	ביקור	1
יזקין	הזקין	1
ממנה	מכינה	1
מובן	במובן	1
בין	בן	1
חופשיים	חופשים	1
עמלים	אמינים	1
שקטים	שקפים	1
מאושרים	מושעים	1
ארגז	ארגד	1
מטילים	מתאימים	1
לי	<deleted>	1
ובאמת	באמת	1
להפחתת	להפצת	1
מאמץ	ומאמץ	1
יהוה	אדוני	1
איביהם	אויביהם	1
גורים	איגורים	1
הנורוגי	הנורבגי	1
הריני	הרימי	1
לעזרתך	לאזורתך	1
עלי	עליי	1
ומעולות	ומהולות	1
בנצרים	במוסרים	1
ייחרץ	ייחרף	1
ומתוסכלת	ומתסכלת	1
זו	פה	1
יפלו	יקלו	1
<inserted>	והשכבות	1
ויסבלו	קילו	1
<inserted>	בורים	1
גובים	לך	1
ארנונה	נכון	1
<inserted>	בשלטותך	1
בחלק	הם	1
מהיושבים	יושבים	1
שנחשוב	כשנחשוב	1
הזקנים	ההסכמים	1
רק	<deleted>	1
הלבנה	<deleted>	1
והכוכבים	<deleted>	1
האירו	<deleted>	1
הדרך	אהההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההההה	1
ממקומו	ממנו	1
חומר	<deleted>	1
מגוון	<deleted>	1
מאוד	<deleted>	1
של	<deleted>	1
ספרים	תוכניות	1
כי	בגלל	1
רוב	שש	1
האנשים	תגובה	1
הביאו	אנשים	1
משהו	ובינים	1
כמה	<deleted>	1
צעיר	מאוד	1
אתה	צעירה	1
כוכבי	קרבי	1
סחים	סכין	1
הו	או	1
ולאנשים	באנשים	1
לתארה	לטהרה	1
שאת	<deleted>	1
נמצאת	שהתמודד	1
בו	הזה	1
הארץ	<deleted>	1
יותר	<deleted>	1
נכון	<deleted>	1
רוצה	<deleted>	1
לאהוב	זה	1
<inserted>	באמת	1
באמריקה	נקרא	1
שלך	שם	1
תהא	אי	1
זו	אזור	1
היצירה	הוא	1
העמוקה	מסילה	1
והמקורית	ארוכה	1
ביותר	ואומרתומית	1
בדורה	ביותר	1
בסופו	<deleted>	1
של	ושלפו	1
דבר	שטה	1
שיבשו	שירשו	1
הדמעות	אדמו	1
זאת	<deleted>	1
היטבתי	<deleted>	1
עשות	דמו	1
הביתה	<deleted>	1
<inserted>	להגות	1
למרות	שהיא	1
שהתאריך	התהליך	1
ראש	חוש	1
אינו	היו	1
כראש	חוש	1
רוח	לוח	1
צוננת	צונן	1
<inserted>	משתולל	1
השתוללה	על	1
ברחובות	מלאכות	1
ומשפחה	<deleted>	1
שהכנסתה	משפחה	1
גבוהה	שאנחנו	1
תשלם	נשארתה	1
מס	עליהן	1
על	נשלם	1
הקצבאות	בנושאות	1
פה	הוא	1
החופש	הכופש	1
אחת	אחד	1
ומצייר	מצייר	1
במקומה	<deleted>	1
<inserted>	כתוב	1
חתול	דלך	1
דע	לעולם	1
לך	ירדו	1
לעולם	ויצור	1
אינו	ירדו	1
ניזוק	ויצור	1
בנפילה	ירדו	1
<inserted>	שלום	1
<inserted>	תראי	1
<inserted>	עובדי	1
<inserted>	עדיני	1
צמרות	עובדי	1
העצים	עדיני	1
נעו	זה	1
בעדינות	לא	1
ברוח	עובדי	1
החמימה	עדיני	1
עבודתי	עבודת	1
חיי	אי	1
יום	היה	1
כותבת	<deleted>	1
הביתה	הלאום	1
הקיר	הגיר	1
הרים	ראינו	1
ועמקים	די	1
עטופי	אמיתי	1
דשא	וייכנסו	1
אדע	פרידה	1
אותה	ארוכה	1
הקרוב	הקרובה	1
<inserted>	ומי	1
עומד	תאבד	1
לרדת	את	1
גשם	מישהו	1
דעתי	דעת	1
שמצאת	<deleted>	1
אגרת	שמוצעתה	1
זו	יגידה	1
בחלון	<deleted>	1
בתחנה	בכל	1
המרכזית	מיני	1
את	ותיקני	1
החטא	עניינים	1
וענשו	כאלה	1
הגגון	‫התגדלות	1
של	היא	1
תבן	של	1
והחלונות	שדה	1
קטנים	וחלוקה	1
השתלט	<deleted>	1
פה	השתלטנו	1
מצב	מקצב	1
להתגבר	להתקבל	1
על	עליו	1
הקושי	קושי	1
מאין	<deleted>	1
לך	מהעיריך	1
זאת	הזאת	1
היצר	בישר	1
והיצר	ובישר	1
בן	בין	1
הסערות	השארותה	1
העזות	הזאת	1
בו	<deleted>	1
היא	פגישת	1
שתקה	כת	1
אבן	אפל	1
עיניה	עיני	1
הגדולות	האדונות	1
והדועכות	והאדונות	1
בכפר	בקפד	1
ספרו	סיפרו	1
חולה	קולה	1
ואנשים	<deleted>	1
מעניינים	<deleted>	1
נדירים	לאנשים	1
כל	נאבדים	1
כך	ולסבירים	1
את	עד	1
ויחידה	ולהידה	1
כובלת	קובלת	1
<inserted>	תודה	1
<inserted>	רבה	1
והנני	לך	1
קרה	אדוני	1
כשמש	היושב	1
הסתיו	ראש	1
לקנות	<deleted>	1
בגדים	<deleted>	1
ביום	לחיות	1
שלישי	גבדים	1
לא	היא	1
זה	<deleted>	1
כמה	לכמה	1
ערכה	הערכה	1
חמוץ	חמות	1
הציר	עציר	1
האיטלקי	אליטקי	1
האמת	<deleted>	1
אין	אילו	1
לו	תפוסים	1
דפוסים	את	1
קבועים	המדינה	1
או	בוא	1
אחד	<deleted>	1
צמחוני	צימפוני	1
בערב	בערבי	1
<inserted>	מראה	1
עם	זה	1
הילקוט	אני	1
על	חושב	1
השכם	שזה	1
ובו	בואו	1
חבילת	חדימה	1
הבגדים	חדימה	1
השמיים	רמי	1
נתקשטו	נרצחו	1
בבגדי	בביקוי	1
תכלת	שלו	1
חדשים	תחשו	1
כביום	ביום	1
חג	אחד	1
אימה	ענית	1
ולפרקים	ומצדקים	1
מטפטף	<deleted>	1
רותי	אותי	1
מה	מי	1
עשו	אשמי	1
היה	ואי	1
סוף	אשמי	1
איזה	ידי	1
ובישר	ובשביל	1
שהילדים	שילדים	1
אחרת	החברת	1
כולי	<deleted>	1
תקווה	<deleted>	1
שהאוזניות	<deleted>	1
התקלקלו	<deleted>	1
כשטבלו	<deleted>	1
בכוס	‫תודה	1
התה	רבה	1
הירח	ואי	1
מאוד	אח	1
בהיר	ואי	1
הלילה	אח	1
ברגעים	רגעים	1
כותבת	פותמת	1
אל	‫הייתם	1
תמהרי	מאמין	1
לכי	‫לכי	1
ונוחי	ולא	1
למה	<deleted>	1
שומשום	<deleted>	1
יקר	<deleted>	1
כל	<deleted>	1
כך	<deleted>	1
לכלוך	אכלות	1
מבהיל	מפעיל	1
זבובים	זוגים	1
ומעל	אומיה	1
חול	<deleted>	1
הנהו	אלינו	1
<inserted>	להשאיר	1
להתקין	מלכות	1
מלכודת	את	1
לתרנגולות	העברות	1
שהחלו	שאלות	1
להתחצף	להתרצף	1
איני	אין	1
לזריקה	לבחירה	1
<inserted>	נראה	1
ממהרים	לי	1
לקיים	לקרוא	1
נדבה	המטרה	1
לעני	והבדילה	1
מאז	מיד	1
התהלך	התחלק	1
האנגלי	האנגרי	1
שפויה	שחויה	1
עליו	עד	1
לכל	תכנון	1
התחלה	התחנה	1
הסוף	אשר	1
שלה	שם	1
נוח	תנוח	1
להיקבר	ונקרקע	1
<inserted>	ואשר	1
מאשר	בא	1
ללכת	לתפקד	1
למדינה	מתנה	1
ארורה	עבור	1
זו	הראשון	1
היא	אי	1
נגועה	נבואה	1
באי	ואי	1
כלפי	לפי	1
הצד	עצמת	1
הפלסטיני	הלוספים	1
רוצה	ועכשיו	1
להיות	נהיה	1
חופשית	חופשי	1
הגוי	עבוד	1
מהכפר	יפה	1
<inserted>	הוא	1
<inserted>	נפלא	1
מאוקראינה	לי	1
היה	ואיך	1
קובר	קובל	1
עצמו	השלוחה	1
חי	היא	1
מקנאה	מתאימה	1
לסוף	לשקט	1
זקנה	זקינה	1
מתאנחת	מתנחת	1
הבלון	הבורן	1
עף	אך	1
מהבלון	מברוני	1
הירוק	רבים	1
שנולדת	כשנולדת	1
תחזור	תחלו	1
<inserted>	מרגיש	1
מרגישה	לה	1
לבטא	לבדק	1
להפגין	להפגיד	1
<inserted>	מי	1
ממכתבך	מצטרפה	1
נודע	ידע	1
<inserted>	עזוב	1
עזבת	אותה	1
איך	ניכא	1
ההרגשה	הרגשון	1
ואמר	והמראה	1
המחלקה	המחלכה	1
לטיול	<deleted>	1
המורה	לכבוד	1
ניסה	ונשאל	1
והדבר	לדבר	1
ונשנה	ונשאל	1
הים	קיים	1
גועש	ראש	1
דגל	דבר	1
שחור	שם	1
הקרובים	התרומים	1
הם	אין	1
נותנים	אלוהים	1
מבחינה	מאפינה	1
המוסד	המושב	1
<inserted>	נהיה	1
מהחסרונות	חסרונות	1
אלמד	אלמות	1
נשתתקו	השתתקו	1
לשמע	לשמד	1
דבריו	הרב	1
היהודים	אלוהים	1
מעשיות	מהשיאות	1
לחפירת	לחטירת	1
באר	דעה	1
<inserted>	כי	1
נתגלה	גדולה	1
רצון	רצוי	1
<inserted>	בקבוצות	1
ליצור	והגי	1
ואיך	צבי	1
הצליחה	תחת	1
הפעולה	אליה	1
אור	עוד	1
לרגע	רגע	1
חושך	מושך	1
לך	<deleted>	1
אל	<deleted>	1
החברה	<deleted>	1
שיחזירו	ולחברה	1
לך	שהעבירו	1
דמי	לכדומי	1
שבאת	שבא	1
משם	קדושה	1
תצמיח	פתוח	1
כוונתי	הבנתי	1
נסעה	מסעה	1
למרחקים	למלחמתים	1
לך	היא	1
בר	לך	1
סמכא	בשמחא	1
מאפייה	מביא	1
סל	צל	1
בחיים	בכללות	1
בידינו	בלבם	1
זו	‫זו	1
האירוניה	האירופיה	1
לימודי	במודלת	1
אנחנו	‫אנחנו	1
בדיעבד	בדיאלוג	1
ראתי	וראתי	1
המחזיר	המגזיל	1
באה	בא	1
שירת	שהילד	1
הפליטים	הפלוטין	1
יוסי	<deleted>	1
לי	יוסלה	1
שבאו	פעם	1
בפיו	בפיה	1
מחודדות	מחודדו	1
סבתא	שבתא	1
כאלה	קיימות	1
מששמעתי	<deleted>	1
ש	כששמעתי	1
יש	שיש	1
בלבי	בלבד	1
כדאי	קראתי	1
תוכי	צוקי	1
היום	כיום	1
20	עצמי	1
<inserted>	וזה	1
ותספר	תשפר	1
כיצד	כשאת	1
<inserted>	לך	1
הדבר	דבר	1
שמחה	שמעיקה	1
וחיכנית	וחייכנית	1
מדיני	מדומי	1
מגזרי	מדומי	1
כבודו	עודו	1
הוזמן	זמן	1
וכדין	וקדימה	1
<inserted>	חדש	1
כאן	כך	1
מוטלת	נותנת	1
השיטין	השלטים	1
הוא	כמו	1
גיהנום	גהינום	1
המשוט	המשור	1
יתחיל	נתחיל	1
כוונת	קבלת	1
בערים	בארץ	1
בצו	בצר	1
קאדר	קדמר	1
הוגנת	הוגמת	1
בשלוף	בשלטון	1
תשלום	משלוב	1
תוקנה	הוקנה	1
<inserted>	ש	1
ש5%	5%	1
מנשוא	מנסות	1
האולם	האולה	1
עזריאלי	עזריאל	1
מתכון	מתכוון	1
היהודית	היום	1
אב	רב	1
המציאות	המצוות	1
הפתוחה	האלה	1
בשעה	לשעה	1
בארבעה	4	1
ספיר	סיפור	1
פנו	ענו	1
בישיבות	בישיבה	1
ואווטסאפ	ווואטסאפ	1
דופן	דוק	1
וגיבור	ריבור	1
צלאח	סלאח	1
דין	דיר	1
וכו	וחור	1
ונבדוק	ומבדוק	1
דירה	בדירה	1
מטפלים	מתאפים	1
אלטרנטיביים	לכם	1
הממוגנים	המוגנים	1
<inserted>	ראשון	1
ושומרון	הלאום	1
באקראי	בהתחלה	1
כלכלה	כלכלתי	1
משא	מסע	1
בבואו	בבאו	1
ברוכי	פרוחי	1
כשרונות	קישונות	1
ממנה	ממונה	1
עלינו	עליהם	1
המקומיות	הלאומיות	1
דירתי	בירתי	1
ואילו	כאילו	1
ממק	ממד	1
שלקולות	שלפעולות	1
מקרב	קרב	1
<inserted>	החינוך	1
החילוני	יבוא	1
בדבריי	בדברייי	1
הזה	זה	1
מעובדי	עובדי	1
ככאלה	לכאלה	1
מהפקולטה	מהפקריטה	1
אלבורג	אולבורג	1
בדנמרק	גדולנו	1
תכלת	ככלת	1
שיתנגדו	שהתנגדו	1
זקא	זקה	1
בדבקות	בטבחות	1
והצביעות	והציור	1
שרק	שרקב	1
ב29%	29%	1
2	<deleted>	1
עשרה	12	1
מציעים	מציינים	1
שסעיף	שסיעו	1
זה	את	1
יימחק	זה	1
העדר	היעדי	1
נכונות	נכונית	1
מקבילה	מקלילה	1
זה	זו	1
ב26	26	1
הממונה	הממנה	1
הסעודית	מסעודית	1
והשאלה	השאלה	1
לטיפול	לכיפול	1
בפתח	לפתח	1
במשכנתאות	בלשכתות	1
ידבר	נדבר	1
מהגדרת	להגדרת	1
במתחמי	ובמתחמי	1
<inserted>	מ	1
מ15	15	1
בשעות	לשעות	1
השבחת	השפכת	1
דיפרנציאלי	דיפורנציאלי	1
נעדר	נהדר	1
משם	משמעותי	1
וממסיק	ומומסיק	1
זיתים	זיתי	1
מי	דיברה	1
דיברת	אותה	1
הם	<deleted>	1
תנאים	הטמעים	1
בצפון	מצפון	1
הסולרית	הסולארית	1
מנות	תמונות	1
למקור	למקום	1
האימפריה	העניין	1
מנשים	ונושאים	1
גבוהה	כמו	1
מצידם	ארציתם	1
