Filename	Reference Text	Transcribed Text	Normalized Reference	Normalized Transcribed	Alignment	WER
common_voice_he_40630794	שבארצות-הברית למשל יש בחינה פעם אחת בשנה	שבארצות הברית למשל יש בחינה פעם אחת בשנה.	שבארצות הברית למשל יש בחינה פעם 1 בשנה	שבארצות הברית למשל יש בחינה פעם 1 בשנה	שבארצות->שבארצות | הברית->הברית | למשל->למשל | יש->יש | בחינה->בחינה | פעם->פעם | 1->1 | בשנה->בשנה	0.0000
common_voice_he_40630795	אני לא מכיר מנגנון כזה בשום תחום	אני לא מכיר מנגנון כזה בשום תחום.	אני לא מכיר מנגנון כזה בשום תחום	אני לא מכיר מנגנון כזה בשום תחום	אני->אני | לא->לא | מכיר->מכיר | מנגנון->מנגנון | כזה->כזה | בשום->בשום | תחום->תחום	0.0000
common_voice_he_41066670	גם החישובים מבחינה פיננסית זה צחוק	גם החישובים מבחינה פיננסית זה צחוק.	גם החישובים מבחינה פיננסית זה צחוק	גם החישובים מבחינה פיננסית זה צחוק	גם->גם | החישובים->החישובים | מבחינה->מבחינה | פיננסית->פיננסית | זה->זה | צחוק->צחוק	0.0000
common_voice_he_41066672	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים.	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים	בוא->בוא | ניתן->ניתן | לזה->לזה | קצת->קצת | זמן->זמן | ונראה->ונראה | איך->איך | הדברים->הדברים | מתנהלים->מתנהלים	0.0000
common_voice_he_41066673	מתנהלת בפומבי, בבית-משפט, בדלתיים פתוחות	מתנהלת בפומבי בבית משפט בדלתיים פתוחות.	מתנהלת בפומבי בבית משפט בדלתיים פתוחות	מתנהלת בפומבי בבית משפט בדלתיים פתוחות	מתנהלת->מתנהלת | בפומבי->בפומבי | בבית->בבית | משפט->משפט | בדלתיים->בדלתיים | פתוחות->פתוחות	0.0000
common_voice_he_40858574	שלא זו בלבד שזה לא מביא צמיחה	שלא זו בלבד שזה לא מביא צמיחה.	שלא זו בלבד שזה לא מביא צמיחה	שלא זו בלבד שזה לא מביא צמיחה	שלא->שלא | זו->זו | בלבד->בלבד | שזה->שזה | לא->לא | מביא->מביא | צמיחה->צמיחה	0.0000
common_voice_he_40858577	הכרה זו אינה פוטרת את הספורטאים משירות	הכרה זו אינה פוטרת את הספורטאים משירות.	הכרה זו אינה פוטרת את הספורטאים משירות	הכרה זו אינה פוטרת את הספורטאים משירות	הכרה->הכרה | זו->זו | אינה->אינה | פוטרת->פוטרת | את->את | הספורטאים->הספורטאים | משירות->משירות	0.0000
common_voice_he_40858579	מה ההבדל בין השטח הכבוש שנקרא אוניברסיטת תל-אביב	מה ההבדל בין השטח הכבוש שנקרא אוניברסיטת תל אביב?	מה ההבדל בין השטח הכבוש שנקרא אוניברסיטת תל אביב	מה ההבדל בין השטח הכבוש שנקרא אוניברסיטת תל אביב	מה->מה | ההבדל->ההבדל | בין->בין | השטח->השטח | הכבוש->הכבוש | שנקרא->שנקרא | אוניברסיטת->אוניברסיטת | תל->תל | אביב->אביב	0.0000
common_voice_he_38283249	הַהַכְנָסָה הַיּוֹתֵר גְּדוֹלָה הִיא מִמְּכִירַת בּוּלִים.	ההכנסה היותר גדולה היא ממכירת בולים.	ההכנסה היותר גדולה היא ממכירת בולים	ההכנסה היותר גדולה היא ממכירת בולים	ההכנסה->ההכנסה | היותר->היותר | גדולה->גדולה | היא->היא | ממכירת->ממכירת | בולים->בולים	0.0000
common_voice_he_38283250	אָהַבְתִּי אֶתְכֶם, סַפָּנִים, הַיּוֹצְאִים בְּשִׁיר זֶמֶר תָּמִים	אהבתי אתכם, ספנים היוצאים בשיר זמר תמים.	אהבתי אתכם ספנים היוצאים בשיר זמר תמים	אהבתי אתכם ספנים היוצאים בשיר זמר תמים	אהבתי->אהבתי | אתכם->אתכם | ספנים->ספנים | היוצאים->היוצאים | בשיר->בשיר | זמר->זמר | תמים->תמים	0.0000
common_voice_he_38283253	אֲנָשִׁים יָצְאוּ מִכָּאן, בִּמְקוֹם סְפּוֹרְטָאִים, בְּעָלֵי חֶשְׁבּוֹן	אנשים יצאו מכאן במקום ספורטאים בעלי חשבון.	אנשים יצאו מכאן במקום ספורטאים בעלי חשבון	אנשים יצאו מכאן במקום ספורטאים בעלי חשבון	אנשים->אנשים | יצאו->יצאו | מכאן->מכאן | במקום->במקום | ספורטאים->ספורטאים | בעלי->בעלי | חשבון->חשבון	0.0000
common_voice_he_41869858	מאמץ מרוכז לאיתור ולהחרמת אמצעי לחימה בלתי חוקיים	מאמץ מרוכז לאיתור ולהחרמת אמצעי לחימה בלתי חוקיים.	מאמץ מרוכז לאיתור ולהחרמת אמצעי לחימה בלתי חוקיים	מאמץ מרוכז לאיתור ולהחרמת אמצעי לחימה בלתי חוקיים	מאמץ->מאמץ | מרוכז->מרוכז | לאיתור->לאיתור | ולהחרמת->ולהחרמת | אמצעי->אמצעי | לחימה->לחימה | בלתי->בלתי | חוקיים->חוקיים	0.0000
common_voice_he_41869860	כשממקמים מתקן גז בהיקף כזה בתוך אזור שממילא הוא רווי במפעלים וחומרים מסוכנים	כשממקמים מתקן גז בהיקף כזה בתוך אזור שממלא הוא רבוי מפעלים וחומרים מסוכנים.	כשממקמים מתקן גז בהיקף כזה בתוך אזור שממילא הוא רבוי במפעלים וחומרים מסוכנים	כשממקמים מתקן גז בהיקף כזה בתוך אזור שממלא הוא רבוי מפעלים וחומרים מסוכנים	כשממקמים->כשממקמים | מתקן->מתקן | גז->גז | בהיקף->בהיקף | כזה->כזה | בתוך->בתוך | אזור->אזור | שממילא->שממלא | הוא->הוא | רבוי->רבוי | במפעלים->מפעלים | וחומרים->וחומרים | מסוכנים->מסוכנים	0.1538
common_voice_he_41869861	באמת תודה רבה לכל אלה ששותפים	באמת תודה רבה לכל אלה ששותפים.	באמת תודה רבה לכל אלה ששותפים	באמת תודה רבה לכל אלה ששותפים	באמת->באמת | תודה->תודה | רבה->רבה | לכל->לכל | אלה->אלה | ששותפים->ששותפים	0.0000
common_voice_he_38883182	וְאִלּוּ מָה שֶׁשִּׁיֵּךְ לְקֶרַע בְּנֶפֶשׁ, הֲרֵי זֶה בָּרוּר וּמוּבָן	ואילו מה ששייך לקרע בנפש, הרי זה ברור ומובן.	ואילו מה ששיך לקרע בנפש הרי זה ברור ומובן	ואילו מה ששייך לקרע בנפש הרי זה ברור ומובן	ואילו->ואילו | מה->מה | ששיך->ששייך | לקרע->לקרע | בנפש->בנפש | הרי->הרי | זה->זה | ברור->ברור | ומובן->ומובן	0.1111
common_voice_he_38883183	הוא לא אלוהי אברהם, יצחק ויעקב	ולא אלוהי אברהם, יצחק ויעקב.	הוא לא אלוהי אברהם יצחק ויעקב	ולא אלוהי אברהם יצחק ויעקב	הוא-><eps> | לא->ולא | אלוהי->אלוהי | אברהם->אברהם | יצחק->יצחק | ויעקב->ויעקב	0.3333
common_voice_he_38883184	עַכְשָׁיו הִיא הִתְחִילָה לִתְפּוֹס מִפְּנֵי מָה הִסְתַּלְּקוּ לָהֶן כָּל שְׁאָר הָעֻובְדּוֹת	עכשיו היא התחילה לתפוס מפני מה הסתלקו להן כל שאר העובדות.	עכשיו היא התחילה לתפוס מפני מה הסתלקו להן כל שאר העובדות	עכשיו היא התחילה לתפוס מפני מה הסתלקו להן כל שאר העובדות	עכשיו->עכשיו | היא->היא | התחילה->התחילה | לתפוס->לתפוס | מפני->מפני | מה->מה | הסתלקו->הסתלקו | להן->להן | כל->כל | שאר->שאר | העובדות->העובדות	0.0000
common_voice_he_38883186	עָשִׂיתִי כֶּסֶף רַב, וְהִנֵּה, בְּאַחַד הַיָּמִים הָלַךְ כָּל הַכֶּסֶף לַעֲזָאזֵל בְּעֵסֶק בִּישׁ.	עשיתי כסף רב, והנה באחד הימים הלך כל הכסף לעזאזל בעסק ביש.	עשיתי כסף רב והנה 1 הימים הלך כל הכסף לעזאזל בעסק ביש	עשיתי כסף רב והנה 1 הימים הלך כל הכסף לעזאזל בעסק ביש	עשיתי->עשיתי | כסף->כסף | רב->רב | והנה->והנה | 1->1 | הימים->הימים | הלך->הלך | כל->כל | הכסף->הכסף | לעזאזל->לעזאזל | בעסק->בעסק | ביש->ביש	0.0000
common_voice_he_41486333	הארנונה בדימונה מוגזמת לעומת ירוחם	הארנונה בדימונה מוגזמת לעומת ירוחם.	הארנונה בדימונה מוגזמת לעומת ירוחם	הארנונה בדימונה מוגזמת לעומת ירוחם	הארנונה->הארנונה | בדימונה->בדימונה | מוגזמת->מוגזמת | לעומת->לעומת | ירוחם->ירוחם	0.0000
common_voice_he_41486334	לבין סטודנטים שלמדו כאן באוניברסיטאות בארץ	לבין סטודנטים שלמדו כאן באוניברסיטאות בארץ.	לבין סטודנטים שלמדו כאן באוניברסיטאות בארץ	לבין סטודנטים שלמדו כאן באוניברסיטאות בארץ	לבין->לבין | סטודנטים->סטודנטים | שלמדו->שלמדו | כאן->כאן | באוניברסיטאות->באוניברסיטאות | בארץ->בארץ	0.0000
common_voice_he_41486336	שמעתי שם הערות מאוד מעניינות לגבי תוכנית ההתנתקות והיציאה מעזה	שמעתי שהמערות מאוד מעניינות לגבי תוכנית ההתנתקות והיציאה מעזה.	שמעתי שם הערות מאוד מעניינות לגבי תוכנית ההתנתקות והיציאה מעזה	שמעתי שהמערות מאוד מעניינות לגבי תוכנית ההתנתקות והיציאה מעזה	שמעתי->שמעתי | שם-><eps> | הערות->שהמערות | מאוד->מאוד | מעניינות->מעניינות | לגבי->לגבי | תוכנית->תוכנית | ההתנתקות->ההתנתקות | והיציאה->והיציאה | מעזה->מעזה	0.2000
common_voice_he_41486337	ניסן סלומינסקי ואמנון כהן לוועדת הפנים ואיכות הסביבה נתקבלה	ניסן סלומינסקי ואמנון כהן לוועדת הפנים ואיכות הסביבה נתקבלה.	ניסן סלומינסקי ואמנון כהן לוועדת הפנים ואיכות הסביבה נתקבלה	ניסן סלומינסקי ואמנון כהן לוועדת הפנים ואיכות הסביבה נתקבלה	ניסן->ניסן | סלומינסקי->סלומינסקי | ואמנון->ואמנון | כהן->כהן | לוועדת->לוועדת | הפנים->הפנים | ואיכות->ואיכות | הסביבה->הסביבה | נתקבלה->נתקבלה	0.0000
common_voice_he_40972184	בראשון-לציון לא מדובר בעשרים טונות גז	בראשיוני ציון לא מדובר ב-20 טונות גז.	בראשון לציון לא מדובר 20 טונות גז	בראשיוני ציון לא מדובר ב 20 טונות גז	בראשון->בראשיוני | לציון->ציון | לא->לא | מדובר->מדובר | <eps>->ב | 20->20 | טונות->טונות | גז->גז	0.4286
common_voice_he_40972185	סגניו מאוימים, רימונים הושלכו לתוך חצרותיהם	סגניו מאוימים – אימונים הושלכו לתוך עצורותיהם.	סגניו מאוימים רימונים הושלכו לתוך חצרותיהם	סגניו מאוימים אימונים הושלכו לתוך עצורותיהם	סגניו->סגניו | מאוימים->מאוימים | רימונים->אימונים | הושלכו->הושלכו | לתוך->לתוך | חצרותיהם->עצורותיהם	0.3333
common_voice_he_40972186	אני מניח שהוא לא מצפה שזה יקרה מחר	אני מניח שהוא לא מצפה שזה יקרה מחר.	אני מניח שהוא לא מצפה שזה יקרה מחר	אני מניח שהוא לא מצפה שזה יקרה מחר	אני->אני | מניח->מניח | שהוא->שהוא | לא->לא | מצפה->מצפה | שזה->שזה | יקרה->יקרה | מחר->מחר	0.0000
common_voice_he_40972188	לא רק ברמה העקרונית אלא גם ברמה התפעולית	לא רק ברמה העקרונית אלא גם ברמה התפעולית.	לא רק ברמה העקרונית אלא גם ברמה התפעולית	לא רק ברמה העקרונית אלא גם ברמה התפעולית	לא->לא | רק->רק | ברמה->ברמה | העקרונית->העקרונית | אלא->אלא | גם->גם | ברמה->ברמה | התפעולית->התפעולית	0.0000
common_voice_he_40909673	כי גם כך הוא רעב וממהר	כי גם כך הוא ראה וממהר.	כי גם כך הוא רעב וממהר	כי גם כך הוא ראה וממהר	כי->כי | גם->גם | כך->כך | הוא->הוא | רעב->ראה | וממהר->וממהר	0.1667
common_voice_he_40909674	אנחנו עדים לכך שמקומות יהודיים הם יעד פורענות למפגעים	אנחנו עדים לכך שמקומות יהודיים הם יעד פורענות למבקעים.	אנחנו עדים לכך שמקומות יהודיים הם יעד פורענות למפגעים	אנחנו עדים לכך שמקומות יהודיים הם יעד פורענות למבקעים	אנחנו->אנחנו | עדים->עדים | לכך->לכך | שמקומות->שמקומות | יהודיים->יהודיים | הם->הם | יעד->יעד | פורענות->פורענות | למפגעים->למבקעים	0.1111
common_voice_he_40909676	למה היא צריכה לגבות מהם אגרה	למה היא צריכה לגבות מהם אגרה?	למה היא צריכה לגבות מהם אגרה	למה היא צריכה לגבות מהם אגרה	למה->למה | היא->היא | צריכה->צריכה | לגבות->לגבות | מהם->מהם | אגרה->אגרה	0.0000
common_voice_he_40909677	לא אצל המובטלים ולא אצל החרדים	לא יוצא למובטלים ולא יוצא לחרדים.	לא אצל המובטלים ולא אצל החרדים	לא יוצא למובטלים ולא יוצא לחרדים	לא->לא | אצל->יוצא | המובטלים->למובטלים | ולא->ולא | אצל->יוצא | החרדים->לחרדים	0.6667
common_voice_he_39897721	בסין יש רכבות מהירות שמגיעות עד ארבע מאות קמש	בסין יש רכבות מהירות שמגיעות עד 400 קמ״ש.	בסין יש רכבות מהירות שמגיעות עד 400 קמש	בסין יש רכבות מהירות שמגיעות עד 400 קמש	בסין->בסין | יש->יש | רכבות->רכבות | מהירות->מהירות | שמגיעות->שמגיעות | עד->עד | 400->400 | קמש->קמש	0.0000
common_voice_he_39897722	והערכים היקרים הם: דע מה למעלה ממך	והערכים היקרים הם דע מה למעלה ממך.	והערכים היקרים הם דע מה למעלה ממך	והערכים היקרים הם דע מה למעלה ממך	והערכים->והערכים | היקרים->היקרים | הם->הם | דע->דע | מה->מה | למעלה->למעלה | ממך->ממך	0.0000
common_voice_he_39897723	הם לא נעצרו, הם לא נשפטו	הם לא נעצרו, הם לא נשפטו.	הם לא נעצרו הם לא נשפטו	הם לא נעצרו הם לא נשפטו	הם->הם | לא->לא | נעצרו->נעצרו | הם->הם | לא->לא | נשפטו->נשפטו	0.0000
common_voice_he_39897724	אנחנו לקראת משהו באלפיים ושלוש עשרה	אנחנו לקראת משהו ב-2013.	אנחנו לקראת משהו 2003 10	אנחנו לקראת משהו ב 2013	אנחנו->אנחנו | לקראת->לקראת | משהו->משהו | 2003->ב | 10->2013	0.4000
common_voice_he_43281934	אלא אם כן יש מי שמתנגד	עליהם כן יש מי שמתנגד.	אלא אם כן יש מי שמתנגד	עליהם כן יש מי שמתנגד	אלא-><eps> | אם->עליהם | כן->כן | יש->יש | מי->מי | שמתנגד->שמתנגד	0.3333
common_voice_he_43281935	ואני נמצא פה משנת אלף תשע מאות שמונים ושמונה	ואני נמצא פה משנת 1988.	ואני נמצא פה משנת 1980 8	ואני נמצא פה משנת 1988	ואני->ואני | נמצא->נמצא | פה->פה | משנת->משנת | 1980-><eps> | 8->1988	0.3333
common_voice_he_43281936	ליד כיכר רבין יש את המקום עם הסושי הכי טוב שאכלתי בחיים	ליד כיכר רבין יש את המקום עם הסושה הכי טוב שאכלתי בחיים.	ליד כיכר רבין יש את המקום עם הסושי הכי טוב שאכלתי בחיים	ליד כיכר רבין יש את המקום עם הסושה הכי טוב שאכלתי בחיים	ליד->ליד | כיכר->כיכר | רבין->רבין | יש->יש | את->את | המקום->המקום | עם->עם | הסושי->הסושה | הכי->הכי | טוב->טוב | שאכלתי->שאכלתי | בחיים->בחיים	0.0833
common_voice_he_43281938	אבל אני רוצה לוודא סופית שאנחנו באים עם דברים מסודרים	אבל אני רוצה לוודא סופית שאנחנו באים עם דברים מסודרים.	אבל אני רוצה לוודא סופית שאנחנו באים עם דברים מסודרים	אבל אני רוצה לוודא סופית שאנחנו באים עם דברים מסודרים	אבל->אבל | אני->אני | רוצה->רוצה | לוודא->לוודא | סופית->סופית | שאנחנו->שאנחנו | באים->באים | עם->עם | דברים->דברים | מסודרים->מסודרים	0.0000
common_voice_he_40067774	איגוד ערים ושירותי כבאות, אזור אשקלון	איגוד ערים ושירותי כבאות, אזור אשקלון	איגוד ערים ושירותי כבאות אזור אשקלון	איגוד ערים ושירותי כבאות אזור אשקלון	איגוד->איגוד | ערים->ערים | ושירותי->ושירותי | כבאות->כבאות | אזור->אזור | אשקלון->אשקלון	0.0000
common_voice_he_40067775	מתוקף תפקידי כיושב-ראש ועדת הכספים	מתוקף תפקידי כיושב ראש ועדת כספים	מתוקף תפקידי כיושב ראש ועדת הכספים	מתוקף תפקידי כיושב ראש ועדת כספים	מתוקף->מתוקף | תפקידי->תפקידי | כיושב->כיושב | ראש->ראש | ועדת->ועדת | הכספים->כספים	0.1667
common_voice_he_40067777	אַבָּא רָץ אִתִּי. בַּיַּעַר שָׁאַל אַבָּא אֶת אִמִּי הֵיכָן חַנָה’לִי.	אבא רץ איתי ביער ושאל את אמי היכן חנאלה.	אבא רץ איתי ביער שאל אבא את אמי היכן חנהלי	אבא רץ איתי ביער ושאל את אמי היכן חנאלה	אבא->אבא | רץ->רץ | איתי->איתי | ביער->ביער | שאל-><eps> | אבא->ושאל | את->את | אמי->אמי | היכן->היכן | חנהלי->חנאלה	0.3000
common_voice_he_40067778	נחקר במשך כשעה ובסיומה שוחרר לדרכו	נחקר במשך כשעה, ובסיומה שוחרר לדרכו.	נחקר במשך כשעה ובסיומה שוחרר לדרכו	נחקר במשך כשעה ובסיומה שוחרר לדרכו	נחקר->נחקר | במשך->במשך | כשעה->כשעה | ובסיומה->ובסיומה | שוחרר->שוחרר | לדרכו->לדרכו	0.0000
common_voice_he_38744643	שחלקם העז למרוד ולהצביע בנושא הערבה ביושר	שחלקם מעז למרוד ולהצביע בנושא הערבה ביושר.	שחלקם העז למרוד ולהצביע בנושא הערבה ביושר	שחלקם מעז למרוד ולהצביע בנושא הערבה ביושר	שחלקם->שחלקם | העז->מעז | למרוד->למרוד | ולהצביע->ולהצביע | בנושא->בנושא | הערבה->הערבה | ביושר->ביושר	0.1429
common_voice_he_38744644	ולכן כל הטכנולוגיה שאפשר להכניס ולהגביל	ולכן כל הטכנולוגיה שאפשר להכניס ולהגביל.	ולכן כל הטכנולוגיה שאפשר להכניס ולהגביל	ולכן כל הטכנולוגיה שאפשר להכניס ולהגביל	ולכן->ולכן | כל->כל | הטכנולוגיה->הטכנולוגיה | שאפשר->שאפשר | להכניס->להכניס | ולהגביל->ולהגביל	0.0000
common_voice_he_38744646	"""הַמַּחְלָקָה הַשְּׁבִיעִית שֶׁל """"תַּרְבּוּת"""" אֲבֵדָה עִם הַמּוֹרֶה."""	המחלקה השביעית של תרבות עבדה עם המורה.	המחלקה השביעית של תרבות אבדה עם המורה	המחלקה השביעית של תרבות עבדה עם המורה	המחלקה->המחלקה | השביעית->השביעית | של->של | תרבות->תרבות | אבדה->עבדה | עם->עם | המורה->המורה	0.1429
common_voice_he_38744647	לְעִסַּת הַחֲמוּרִים הִשְׁרְתָה מְנוּחָה בָּאָסָם	לעיסת החמורים נשרתה מנוחה באסמה.	לעסת החמורים השרתה מנוחה באסם	לעיסת החמורים נשרתה מנוחה באסמה	לעסת->לעיסת | החמורים->החמורים | השרתה->נשרתה | מנוחה->מנוחה | באסם->באסמה	0.6000
common_voice_he_38094978	אָרְכוּ הַלֵּילוֹת וְקָצְרוּ הַיָּמִים	ארכו הלילות וקצרו הימים.	ארכו הלילות וקצרו הימים	ארכו הלילות וקצרו הימים	ארכו->ארכו | הלילות->הלילות | וקצרו->וקצרו | הימים->הימים	0.0000
common_voice_he_38094979	נשכבתי ליד המים השקטים.	נשכרתי ליד המים השקטים.	נשכבתי ליד המים השקטים	נשכרתי ליד המים השקטים	נשכבתי->נשכרתי | ליד->ליד | המים->המים | השקטים->השקטים	0.2500
common_voice_he_38094980	הֲרֵי זֶה נִקְרָא לָקַחַת חֶרְמֵשׁ בַּיָּדַיִם.	הרי זה נקרא לקחת חרמש בידיים.	הרי זה נקרא לקחת חרמש בידיים	הרי זה נקרא לקחת חרמש בידיים	הרי->הרי | זה->זה | נקרא->נקרא | לקחת->לקחת | חרמש->חרמש | בידיים->בידיים	0.0000
common_voice_he_38094981	הַמּוֹרִים לוֹקְחִים כִּרְכָּרוֹת וְנוֹסְעִים לִקְרָאתָם.	המורים לוקחים כרכרות ונוסעים לקראתן.	המורים לוקחים כרכרות ונוסעים לקראתם	המורים לוקחים כרכרות ונוסעים לקראתן	המורים->המורים | לוקחים->לוקחים | כרכרות->כרכרות | ונוסעים->ונוסעים | לקראתם->לקראתן	0.2000
