Filename	Background file	Start point (in seconds)	SNR
common_voice_he_38094117	noise-free-sound-0726.wav	25.78	0.33
common_voice_he_38094118	noise-free-sound-0784.wav	6.02	5.01
common_voice_he_38094124	noise-free-sound-0752.wav	8.70	5.39
common_voice_he_38094125	noise-free-sound-0519.wav	3.97	2.92
common_voice_he_38094126	noise-free-sound-0699.wav	105.64	5.45
common_voice_he_38094128	noise-free-sound-0272.wav	28.21	0.71
common_voice_he_38094978	noise-free-sound-0594.wav	124.88	1.41
common_voice_he_38094979	noise-free-sound-0605.wav	1.77	0.25
common_voice_he_38094980	noise-free-sound-0151.wav	41.36	1.46
common_voice_he_38094981	noise-free-sound-0533.wav	24.95	5.00
common_voice_he_38104806	noise-free-sound-0154.wav	52.42	5.97
common_voice_he_38104807	noise-free-sound-0032.wav	25.68	5.67
common_voice_he_38104808	noise-free-sound-0105.wav	276.38	5.12
common_voice_he_38104809	noise-free-sound-0726.wav	102.16	4.66
common_voice_he_38104821	noise-free-sound-0784.wav	6.35	0.33
common_voice_he_38104823	noise-free-sound-0436.wav	6.67	3.49
common_voice_he_38104824	noise-free-sound-0232.wav	15.12	2.42
common_voice_he_38104831	noise-free-sound-0165.wav	21.85	2.63
common_voice_he_38104832	noise-free-sound-0459.wav	17.06	3.44
common_voice_he_38104834	noise-free-sound-0370.wav	16.46	5.84
common_voice_he_38115877	noise-free-sound-0055.wav	6.88	5.83
common_voice_he_38115879	noise-free-sound-0754.wav	61.84	3.61
common_voice_he_38118859	noise-free-sound-0634.wav	2.91	1.82
common_voice_he_38118861	noise-free-sound-0723.wav	41.67	1.96
common_voice_he_38118862	noise-free-sound-0545.wav	24.52	1.28
common_voice_he_38118863	noise-free-sound-0340.wav	14.96	4.65
common_voice_he_38118866	noise-free-sound-0634.wav	1.76	2.14
common_voice_he_38118867	noise-free-sound-0649.wav	36.57	5.17
common_voice_he_38118868	noise-free-sound-0754.wav	2.67	5.92
common_voice_he_38118869	noise-free-sound-0647.wav	29.12	5.32
common_voice_he_38118870	noise-free-sound-0804.wav	35.03	4.26
common_voice_he_38118871	noise-free-sound-0322.wav	15.82	3.70
common_voice_he_38118873	noise-free-sound-0254.wav	4.53	5.10
common_voice_he_38118874	noise-free-sound-0184.wav	8.51	1.67
common_voice_he_38118875	noise-free-sound-0278.wav	10.39	1.29
common_voice_he_38118876	noise-free-sound-0177.wav	76.94	4.70
common_voice_he_38118877	noise-free-sound-0787.wav	9.28	4.48
common_voice_he_38118878	noise-free-sound-0594.wav	44.31	5.37
common_voice_he_38118879	noise-free-sound-0752.wav	25.41	2.77
common_voice_he_38142066	noise-free-sound-0020.wav	13.73	4.19
common_voice_he_38142067	noise-free-sound-0531.wav	15.80	5.43
common_voice_he_38142068	noise-free-sound-0269.wav	27.57	3.85
common_voice_he_38142069	noise-free-sound-0644.wav	51.31	1.96
common_voice_he_38142070	noise-free-sound-0707.wav	14.67	3.55
common_voice_he_38142071	noise-free-sound-0382.wav	22.28	4.47
common_voice_he_38142073	noise-free-sound-0064.wav	53.56	0.78
common_voice_he_38142074	noise-free-sound-0451.wav	32.71	2.78
common_voice_he_38142075	noise-free-sound-0728.wav	103.45	1.28
common_voice_he_38142076	noise-free-sound-0546.wav	69.06	1.14
common_voice_he_38142078	noise-free-sound-0184.wav	6.04	5.16
common_voice_he_38142079	noise-free-sound-0106.wav	57.69	5.58
common_voice_he_38142080	noise-free-sound-0055.wav	24.88	3.06
common_voice_he_38142081	noise-free-sound-0754.wav	68.07	1.73
common_voice_he_38142083	noise-free-sound-0248.wav	7.72	1.04
common_voice_he_38142084	noise-free-sound-0117.wav	27.44	5.14
common_voice_he_38142085	noise-free-sound-0151.wav	5.93	0.19
common_voice_he_38142086	noise-free-sound-0288.wav	50.27	2.64
common_voice_he_38142087	noise-sound-bible-0044.wav	20.01	3.19
common_voice_he_38142088	noise-free-sound-0216.wav	27.87	0.14
common_voice_he_38142089	noise-free-sound-0592.wav	10.23	1.92
common_voice_he_38142090	noise-free-sound-0288.wav	37.98	1.35
common_voice_he_38142096	noise-free-sound-0740.wav	17.31	2.83
common_voice_he_38142097	noise-free-sound-0290.wav	33.55	3.20
common_voice_he_38142098	noise-free-sound-0497.wav	14.80	4.63
common_voice_he_38142099	noise-free-sound-0605.wav	24.13	0.67
common_voice_he_38142101	noise-free-sound-0266.wav	18.88	4.46
common_voice_he_38142102	noise-free-sound-0239.wav	5.38	5.23
common_voice_he_38142103	noise-free-sound-0301.wav	58.01	4.60
common_voice_he_38142104	noise-free-sound-0216.wav	14.33	4.03
common_voice_he_38142105	noise-free-sound-0321.wav	3.02	2.19
common_voice_he_38146664	noise-free-sound-0282.wav	9.52	4.90
common_voice_he_38146666	noise-free-sound-0230.wav	19.26	1.94
common_voice_he_38146667	noise-free-sound-0572.wav	89.75	2.15
common_voice_he_38146669	noise-sound-bible-0083.wav	10.67	4.20
common_voice_he_38146672	noise-free-sound-0048.wav	263.41	2.94
common_voice_he_38146694	noise-free-sound-0106.wav	21.70	3.68
common_voice_he_38146695	noise-free-sound-0430.wav	39.64	4.15
common_voice_he_38146696	noise-free-sound-0154.wav	5.31	4.56
common_voice_he_38146702	noise-sound-bible-0076.wav	18.30	2.49
common_voice_he_38146703	noise-free-sound-0651.wav	39.26	5.43
common_voice_he_38146705	noise-free-sound-0545.wav	20.60	1.17
common_voice_he_38146706	noise-free-sound-0647.wav	55.31	2.37
common_voice_he_38195450	noise-free-sound-0381.wav	15.65	2.89
common_voice_he_38195452	noise-free-sound-0480.wav	4.03	5.44
common_voice_he_38195454	noise-sound-bible-0045.wav	1.34	0.78
common_voice_he_38196114	noise-free-sound-0733.wav	21.78	3.65
common_voice_he_38196115	noise-free-sound-0232.wav	32.20	0.87
common_voice_he_38196117	noise-free-sound-0370.wav	23.87	5.68
common_voice_he_38196118	noise-free-sound-0842.wav	63.00	2.48
common_voice_he_38196119	noise-free-sound-0592.wav	2.38	1.22
common_voice_he_38196120	noise-free-sound-0109.wav	7.13	0.42
common_voice_he_38196121	noise-free-sound-0623.wav	26.38	3.76
common_voice_he_38196122	noise-free-sound-0841.wav	1.93	4.41
common_voice_he_38196123	noise-free-sound-0001.wav	9.22	1.27
common_voice_he_38196124	noise-free-sound-0580.wav	110.28	5.77
common_voice_he_38196125	noise-free-sound-0243.wav	0.21	4.81
common_voice_he_38196126	noise-sound-bible-0049.wav	7.84	1.64
common_voice_he_38283249	noise-free-sound-0334.wav	123.94	1.07
common_voice_he_38283250	noise-free-sound-0308.wav	1.16	5.89
common_voice_he_38283253	noise-free-sound-0266.wav	19.25	0.44
common_voice_he_38568963	noise-free-sound-0233.wav	26.80	2.74
common_voice_he_38568964	noise-free-sound-0011.wav	3.07	3.65
common_voice_he_38568965	noise-free-sound-0101.wav	92.59	4.18
common_voice_he_38568966	noise-free-sound-0567.wav	7.63	5.65
common_voice_he_38568967	noise-free-sound-0600.wav	8.59	2.43
common_voice_he_38623331	noise-free-sound-0243.wav	11.63	0.62
common_voice_he_38623332	noise-free-sound-0073.wav	31.19	0.73
common_voice_he_38623333	noise-free-sound-0177.wav	55.47	1.79
common_voice_he_38623334	noise-free-sound-0732.wav	22.91	4.74
common_voice_he_38623347	noise-free-sound-0700.wav	14.92	2.08
common_voice_he_38623348	noise-free-sound-0244.wav	58.15	5.40
common_voice_he_38623349	noise-free-sound-0102.wav	17.07	2.12
common_voice_he_38744643	noise-free-sound-0546.wav	52.99	0.78
common_voice_he_38744644	noise-free-sound-0262.wav	5.24	3.90
common_voice_he_38744646	noise-free-sound-0177.wav	45.27	3.32
common_voice_he_38744647	noise-free-sound-0153.wav	27.59	1.75
common_voice_he_38883182	noise-free-sound-0239.wav	4.66	5.22
common_voice_he_38883183	noise-free-sound-0634.wav	57.52	3.50
common_voice_he_38883184	noise-free-sound-0020.wav	0.99	1.70
common_voice_he_38883186	noise-free-sound-0322.wav	11.06	3.97
common_voice_he_38883685	noise-free-sound-0233.wav	21.15	0.36
common_voice_he_38883686	noise-free-sound-0441.wav	16.92	3.65
common_voice_he_38883687	noise-free-sound-0710.wav	39.86	0.45
common_voice_he_38883688	noise-free-sound-0681.wav	54.06	4.56
common_voice_he_38883689	noise-free-sound-0545.wav	11.51	2.31
common_voice_he_39326813	noise-free-sound-0841.wav	46.40	2.10
common_voice_he_39326815	noise-free-sound-0568.wav	67.90	0.64
common_voice_he_39326816	noise-free-sound-0293.wav	14.31	1.86
common_voice_he_39326817	noise-free-sound-0546.wav	51.43	4.14
common_voice_he_39326818	noise-free-sound-0623.wav	1.27	0.25
common_voice_he_39326825	noise-free-sound-0551.wav	3.70	2.23
common_voice_he_39326826	noise-free-sound-0646.wav	29.41	1.99
common_voice_he_39326827	noise-free-sound-0262.wav	20.33	0.30
common_voice_he_39326828	noise-free-sound-0480.wav	25.26	3.49
common_voice_he_39326830	noise-free-sound-0042.wav	215.94	1.56
common_voice_he_39326852	noise-free-sound-0770.wav	35.31	0.54
common_voice_he_39326853	noise-free-sound-0233.wav	10.18	2.91
common_voice_he_39326854	noise-free-sound-0674.wav	9.39	5.27
common_voice_he_39326855	noise-free-sound-0234.wav	23.97	0.51
common_voice_he_39326856	noise-free-sound-0398.wav	11.82	3.67
common_voice_he_39326862	noise-free-sound-0840.wav	9.35	0.39
common_voice_he_39326863	noise-free-sound-0001.wav	13.43	2.71
common_voice_he_39326864	noise-free-sound-0497.wav	187.89	0.54
common_voice_he_39326865	noise-free-sound-0105.wav	63.89	1.56
common_voice_he_39326866	noise-free-sound-0035.wav	23.59	1.03
common_voice_he_39327003	noise-free-sound-0709.wav	13.04	3.72
common_voice_he_39327004	noise-free-sound-0381.wav	3.97	2.05
common_voice_he_39327005	noise-free-sound-0155.wav	7.23	5.68
common_voice_he_39327006	noise-free-sound-0726.wav	84.90	2.24
common_voice_he_39327007	noise-free-sound-0156.wav	82.71	1.80
common_voice_he_39327020	noise-free-sound-0266.wav	25.64	5.40
common_voice_he_39327022	noise-free-sound-0101.wav	101.64	5.20
common_voice_he_39327024	noise-free-sound-0430.wav	26.09	0.72
common_voice_he_39327025	noise-free-sound-0707.wav	9.49	2.01
common_voice_he_39327027	noise-free-sound-0184.wav	23.07	2.44
common_voice_he_39327033	noise-free-sound-0442.wav	51.98	4.89
common_voice_he_39327038	noise-free-sound-0457.wav	15.62	3.35
common_voice_he_39327040	noise-sound-bible-0045.wav	18.14	1.03
common_voice_he_39327041	noise-free-sound-0651.wav	22.29	3.34
common_voice_he_39327047	noise-free-sound-0015.wav	4.77	5.74
common_voice_he_39327048	noise-free-sound-0494.wav	42.98	1.96
common_voice_he_39327049	noise-free-sound-0784.wav	21.18	5.50
common_voice_he_39327050	noise-free-sound-0606.wav	54.05	2.63
common_voice_he_39327051	noise-free-sound-0239.wav	26.21	2.38
common_voice_he_39327063	noise-free-sound-0787.wav	19.06	4.38
common_voice_he_39327065	noise-free-sound-0160.wav	18.21	5.30
common_voice_he_39327066	noise-free-sound-0661.wav	25.27	2.71
common_voice_he_39327068	noise-free-sound-0290.wav	25.91	2.01
common_voice_he_39327081	noise-free-sound-0088.wav	18.44	1.98
common_voice_he_39327082	noise-free-sound-0012.wav	25.60	5.89
common_voice_he_39327084	noise-free-sound-0254.wav	33.77	4.18
common_voice_he_39327085	noise-free-sound-0710.wav	10.49	4.28
common_voice_he_39327091	noise-free-sound-0282.wav	6.60	0.70
common_voice_he_39327092	noise-free-sound-0605.wav	2.35	4.16
common_voice_he_39327093	noise-free-sound-0261.wav	6.19	5.14
common_voice_he_39327094	noise-free-sound-0787.wav	6.11	4.16
common_voice_he_39327095	noise-free-sound-0804.wav	30.19	4.77
common_voice_he_39327096	noise-free-sound-0787.wav	4.73	2.34
common_voice_he_39327097	noise-free-sound-0117.wav	7.60	5.53
common_voice_he_39327098	noise-free-sound-0266.wav	4.45	0.48
common_voice_he_39327099	noise-free-sound-0592.wav	21.40	5.06
common_voice_he_39327100	noise-free-sound-0700.wav	10.47	4.90
common_voice_he_39327103	noise-free-sound-0131.wav	7.58	5.94
common_voice_he_39327105	noise-free-sound-0743.wav	17.71	3.06
common_voice_he_39327107	noise-free-sound-0677.wav	87.20	1.46
common_voice_he_39327109	noise-free-sound-0433.wav	31.90	2.80
common_voice_he_39327110	noise-free-sound-0324.wav	20.32	1.20
common_voice_he_39327112	noise-free-sound-0155.wav	64.66	5.55
common_voice_he_39327118	noise-free-sound-0544.wav	12.70	5.16
common_voice_he_39327119	noise-free-sound-0384.wav	158.10	1.31
common_voice_he_39327120	noise-free-sound-0239.wav	0.35	2.28
common_voice_he_39327121	noise-free-sound-0184.wav	10.16	4.85
common_voice_he_39327123	noise-free-sound-0227.wav	5.76	3.21
common_voice_he_39327124	noise-free-sound-0533.wav	1.37	1.88
common_voice_he_39327125	noise-free-sound-0451.wav	12.56	4.32
common_voice_he_39327126	noise-free-sound-0383.wav	25.35	3.37
common_voice_he_39327137	noise-free-sound-0770.wav	21.98	3.48
common_voice_he_39327138	noise-free-sound-0792.wav	21.03	1.70
common_voice_he_39327139	noise-sound-bible-0054.wav	21.38	2.14
common_voice_he_39327140	noise-sound-bible-0045.wav	0.51	5.53
common_voice_he_39327141	noise-free-sound-0545.wav	10.26	3.84
common_voice_he_39327147	noise-free-sound-0647.wav	32.05	0.12
common_voice_he_39327148	noise-sound-bible-0083.wav	14.91	2.14
common_voice_he_39327151	noise-free-sound-0270.wav	93.13	5.48
common_voice_he_39327152	noise-free-sound-0606.wav	7.90	0.44
common_voice_he_39327181	noise-free-sound-0348.wav	25.86	5.57
common_voice_he_39327182	noise-free-sound-0623.wav	11.80	3.83
common_voice_he_39327183	noise-free-sound-0592.wav	13.83	1.60
common_voice_he_39327184	noise-free-sound-0733.wav	8.91	1.28
common_voice_he_39327185	noise-free-sound-0433.wav	26.96	3.64
common_voice_he_39327196	noise-free-sound-0160.wav	17.34	3.18
common_voice_he_39327197	noise-free-sound-0032.wav	36.55	5.31
common_voice_he_39327198	noise-free-sound-0729.wav	27.25	2.66
common_voice_he_39327199	noise-free-sound-0623.wav	3.22	3.59
common_voice_he_39327200	noise-free-sound-0110.wav	28.24	0.42
common_voice_he_39327214	noise-free-sound-0699.wav	21.58	3.21
common_voice_he_39327215	noise-free-sound-0699.wav	7.99	1.96
common_voice_he_39327216	noise-free-sound-0614.wav	1.71	3.88
common_voice_he_39327217	noise-free-sound-0304.wav	19.45	2.09
common_voice_he_39327218	noise-free-sound-0031.wav	16.11	2.64
common_voice_he_39350850	noise-free-sound-0472.wav	9.89	1.62
common_voice_he_39350851	noise-free-sound-0567.wav	42.76	3.00
common_voice_he_39350852	noise-free-sound-0461.wav	6.63	1.69
common_voice_he_39642806	noise-free-sound-0272.wav	31.24	0.59
common_voice_he_39642807	noise-free-sound-0441.wav	35.93	1.19
common_voice_he_39642808	noise-free-sound-0114.wav	36.08	2.87
common_voice_he_39642809	noise-free-sound-0064.wav	42.40	0.94
common_voice_he_39642810	noise-free-sound-0243.wav	34.74	4.62
common_voice_he_39642811	noise-free-sound-0234.wav	31.53	1.25
common_voice_he_39642813	noise-free-sound-0308.wav	13.97	5.89
common_voice_he_39642814	noise-free-sound-0370.wav	26.26	5.04
common_voice_he_39642815	noise-free-sound-0287.wav	28.50	2.20
common_voice_he_39642817	noise-free-sound-0382.wav	48.12	3.93
common_voice_he_39642818	noise-free-sound-0153.wav	25.22	1.69
common_voice_he_39642819	noise-free-sound-0661.wav	10.61	4.64
common_voice_he_39659793	noise-free-sound-0497.wav	33.80	1.91
common_voice_he_39659794	noise-free-sound-0567.wav	29.55	0.44
common_voice_he_39659795	noise-free-sound-0818.wav	4.17	3.85
common_voice_he_39659796	noise-free-sound-0340.wav	6.80	0.08
common_voice_he_39659797	noise-free-sound-0348.wav	39.59	5.85
common_voice_he_39750876	noise-free-sound-0640.wav	13.10	1.75
common_voice_he_39750877	noise-free-sound-0073.wav	21.02	1.14
common_voice_he_39750878	noise-free-sound-0792.wav	10.08	5.82
common_voice_he_39750933	noise-free-sound-0256.wav	1.67	5.76
common_voice_he_39750937	noise-free-sound-0370.wav	50.92	5.33
common_voice_he_39753055	noise-free-sound-0580.wav	84.38	5.42
common_voice_he_39753056	noise-free-sound-0130.wav	31.37	2.29
common_voice_he_39753057	noise-free-sound-0382.wav	26.75	3.55
common_voice_he_39753058	noise-free-sound-0647.wav	45.64	3.66
common_voice_he_39753059	noise-free-sound-0699.wav	33.87	3.23
common_voice_he_39753067	noise-free-sound-0161.wav	48.17	5.60
common_voice_he_39753068	noise-free-sound-0677.wav	32.18	0.59
common_voice_he_39753069	noise-free-sound-0472.wav	50.98	1.51
common_voice_he_39753070	noise-free-sound-0121.wav	1.34	4.53
common_voice_he_39753072	noise-free-sound-0384.wav	95.95	2.42
common_voice_he_39753082	noise-free-sound-0247.wav	46.38	5.95
common_voice_he_39753083	noise-free-sound-0677.wav	5.26	5.92
common_voice_he_39753088	noise-sound-bible-0076.wav	20.66	2.61
common_voice_he_39753089	noise-free-sound-0270.wav	38.05	2.11
common_voice_he_39753112	noise-free-sound-0173.wav	80.17	0.77
common_voice_he_39753113	noise-free-sound-0649.wav	34.63	4.17
common_voice_he_39753114	noise-free-sound-0076.wav	59.33	2.58
common_voice_he_39753115	noise-free-sound-0567.wav	87.22	0.63
common_voice_he_39753116	noise-free-sound-0105.wav	7.15	2.11
common_voice_he_39753131	noise-free-sound-0461.wav	46.19	0.53
common_voice_he_39753133	noise-free-sound-0105.wav	291.21	2.24
common_voice_he_39753134	noise-free-sound-0266.wav	12.45	4.68
common_voice_he_39753135	noise-free-sound-0572.wav	26.43	5.15
common_voice_he_39753136	noise-free-sound-0370.wav	44.75	1.30
common_voice_he_39753149	noise-free-sound-0216.wav	7.75	5.77
common_voice_he_39753150	noise-free-sound-0383.wav	4.35	5.71
common_voice_he_39753151	noise-free-sound-0761.wav	1.90	0.64
common_voice_he_39753153	noise-free-sound-0841.wav	17.24	5.56
common_voice_he_39753154	noise-free-sound-0560.wav	235.21	0.84
common_voice_he_39753165	noise-free-sound-0593.wav	52.69	0.70
common_voice_he_39753166	noise-free-sound-0436.wav	22.18	4.97
common_voice_he_39753167	noise-free-sound-0165.wav	5.83	2.05
common_voice_he_39753168	noise-free-sound-0819.wav	25.94	3.18
common_voice_he_39753169	noise-free-sound-0474.wav	26.48	1.67
common_voice_he_39753184	noise-free-sound-0707.wav	16.78	3.70
common_voice_he_39753185	noise-free-sound-0086.wav	19.09	3.97
common_voice_he_39753186	noise-free-sound-0552.wav	12.92	1.22
common_voice_he_39753187	noise-free-sound-0430.wav	51.32	2.66
common_voice_he_39753188	noise-free-sound-0370.wav	4.11	4.80
common_voice_he_39753206	noise-free-sound-0743.wav	25.53	1.03
common_voice_he_39753207	noise-free-sound-0641.wav	20.31	3.41
common_voice_he_39753209	noise-free-sound-0439.wav	3.71	1.56
common_voice_he_39753210	noise-sound-bible-0083.wav	37.95	1.44
common_voice_he_39753224	noise-free-sound-0784.wav	13.70	2.35
common_voice_he_39753225	noise-free-sound-0304.wav	21.45	5.43
common_voice_he_39753226	noise-sound-bible-0076.wav	39.55	3.77
common_voice_he_39753227	noise-free-sound-0699.wav	33.69	0.68
common_voice_he_39753228	noise-free-sound-0641.wav	19.95	5.46
common_voice_he_39753242	noise-sound-bible-0083.wav	32.93	4.62
common_voice_he_39753243	noise-free-sound-0674.wav	1.17	3.10
common_voice_he_39753244	noise-free-sound-0110.wav	30.94	3.70
common_voice_he_39753245	noise-free-sound-0152.wav	74.71	2.92
common_voice_he_39753246	noise-free-sound-0710.wav	5.05	0.00
common_voice_he_39753268	noise-free-sound-0172.wav	34.89	2.21
common_voice_he_39753269	noise-free-sound-0064.wav	22.27	0.80
common_voice_he_39753270	noise-free-sound-0030.wav	16.94	3.23
common_voice_he_39753271	noise-free-sound-0256.wav	9.40	2.54
common_voice_he_39753272	noise-free-sound-0227.wav	6.41	1.36
common_voice_he_39753279	noise-free-sound-0002.wav	32.41	4.65
common_voice_he_39753280	noise-free-sound-0109.wav	13.63	2.92
common_voice_he_39753281	noise-free-sound-0141.wav	89.39	3.02
common_voice_he_39753282	noise-free-sound-0384.wav	22.45	4.81
common_voice_he_39753283	noise-free-sound-0080.wav	15.24	3.77
common_voice_he_39753438	noise-free-sound-0636.wav	5.30	5.71
common_voice_he_39753439	noise-free-sound-0235.wav	31.63	5.96
common_voice_he_39753440	noise-free-sound-0502.wav	21.00	3.95
common_voice_he_39753441	noise-free-sound-0560.wav	151.71	2.08
common_voice_he_39753442	noise-free-sound-0032.wav	23.44	5.58
common_voice_he_39753458	noise-free-sound-0436.wav	40.45	2.95
common_voice_he_39753459	noise-free-sound-0475.wav	8.19	1.89
common_voice_he_39753460	noise-free-sound-0142.wav	13.78	2.68
common_voice_he_39753461	noise-free-sound-0681.wav	16.85	5.52
common_voice_he_39753462	noise-free-sound-0418.wav	20.29	4.66
common_voice_he_39753468	noise-free-sound-0002.wav	59.91	3.43
common_voice_he_39753469	noise-free-sound-0184.wav	3.59	5.41
common_voice_he_39753470	noise-free-sound-0244.wav	104.70	2.82
common_voice_he_39753471	noise-free-sound-0121.wav	9.05	4.89
common_voice_he_39753472	noise-free-sound-0457.wav	1.40	0.95
common_voice_he_39753478	noise-free-sound-0500.wav	23.47	1.16
common_voice_he_39753479	noise-free-sound-0383.wav	2.10	0.26
common_voice_he_39753480	noise-free-sound-0436.wav	20.94	2.20
common_voice_he_39753481	noise-free-sound-0649.wav	9.73	2.85
common_voice_he_39753482	noise-free-sound-0651.wav	27.93	0.68
common_voice_he_39753488	noise-free-sound-0494.wav	31.63	0.46
common_voice_he_39753489	noise-free-sound-0381.wav	3.78	2.05
common_voice_he_39753490	noise-free-sound-0011.wav	6.59	1.66
common_voice_he_39753491	noise-free-sound-0606.wav	31.41	5.77
common_voice_he_39753492	noise-free-sound-0324.wav	26.24	1.58
common_voice_he_39753498	noise-free-sound-0489.wav	3.13	4.03
common_voice_he_39753499	noise-free-sound-0384.wav	120.76	0.07
common_voice_he_39753500	noise-free-sound-0106.wav	121.47	1.12
common_voice_he_39753501	noise-free-sound-0728.wav	84.91	6.00
common_voice_he_39753518	noise-free-sound-0733.wav	7.67	4.32
common_voice_he_39753519	noise-free-sound-0066.wav	12.57	4.75
common_voice_he_39753520	noise-free-sound-0494.wav	43.01	3.66
common_voice_he_39753521	noise-free-sound-0266.wav	20.57	3.36
common_voice_he_39753541	noise-free-sound-0370.wav	49.12	1.09
common_voice_he_39753542	noise-free-sound-0681.wav	58.60	0.22
common_voice_he_39753543	noise-free-sound-0158.wav	29.63	3.37
common_voice_he_39753544	noise-free-sound-0301.wav	10.60	3.47
common_voice_he_39753545	noise-free-sound-0012.wav	9.13	1.69
common_voice_he_39753570	noise-free-sound-0685.wav	6.88	2.67
common_voice_he_39753571	noise-free-sound-0141.wav	46.70	2.03
common_voice_he_39753572	noise-free-sound-0647.wav	14.16	5.64
common_voice_he_39753573	noise-free-sound-0067.wav	11.39	5.45
common_voice_he_39753574	noise-free-sound-0651.wav	12.57	4.66
common_voice_he_39753586	noise-free-sound-0818.wav	29.36	2.02
common_voice_he_39753587	noise-free-sound-0457.wav	26.14	0.36
common_voice_he_39753588	noise-free-sound-0262.wav	28.43	5.45
common_voice_he_39753589	noise-free-sound-0824.wav	24.05	1.26
common_voice_he_39753590	noise-free-sound-0141.wav	37.65	1.47
common_voice_he_39753600	noise-free-sound-0114.wav	27.22	5.80
common_voice_he_39753601	noise-free-sound-0382.wav	27.50	0.21
common_voice_he_39753602	noise-free-sound-0644.wav	69.87	0.28
common_voice_he_39753603	noise-free-sound-0842.wav	286.33	5.59
common_voice_he_39753613	noise-free-sound-0110.wav	1.85	5.97
common_voice_he_39753615	noise-sound-bible-0044.wav	21.73	0.59
common_voice_he_39753616	noise-sound-bible-0060.wav	4.87	3.09
common_voice_he_39753618	noise-free-sound-0239.wav	5.89	3.07
common_voice_he_39753620	noise-free-sound-0732.wav	11.33	4.05
common_voice_he_39753626	noise-free-sound-0752.wav	18.47	5.05
common_voice_he_39753629	noise-free-sound-0262.wav	13.74	4.51
common_voice_he_39753630	noise-free-sound-0580.wav	126.25	3.53
common_voice_he_39753631	noise-free-sound-0433.wav	12.68	2.28
common_voice_he_39753639	noise-free-sound-0384.wav	64.69	3.30
common_voice_he_39753640	noise-free-sound-0684.wav	46.41	5.24
common_voice_he_39753641	noise-free-sound-0457.wav	21.57	1.25
common_voice_he_39753642	noise-free-sound-0780.wav	12.78	5.72
common_voice_he_39753643	noise-free-sound-0032.wav	0.35	1.09
common_voice_he_39753649	noise-free-sound-0370.wav	11.69	4.45
common_voice_he_39753650	noise-free-sound-0761.wav	1.70	4.27
common_voice_he_39753651	noise-free-sound-0142.wav	31.85	3.54
common_voice_he_39753652	noise-free-sound-0101.wav	36.03	5.24
common_voice_he_39753653	noise-free-sound-0266.wav	28.18	2.11
common_voice_he_39753654	noise-free-sound-0644.wav	20.05	2.13
common_voice_he_39753655	noise-free-sound-0594.wav	119.66	4.78
common_voice_he_39753656	noise-free-sound-0048.wav	415.10	2.82
common_voice_he_39753657	noise-free-sound-0795.wav	20.75	4.40
common_voice_he_39753658	noise-sound-bible-0048.wav	22.23	0.63
common_voice_he_39771109	noise-free-sound-0497.wav	180.61	4.57
common_voice_he_39771111	noise-free-sound-0725.wav	23.17	1.97
common_voice_he_39771113	noise-free-sound-0030.wav	5.52	5.89
