Filename	Reference Text	Transcribed Text	Normalized Reference	Normalized Transcribed	Alignment	WER
common_voice_he_41019361	זר הוא תאגיד שהשליטה בו היא בידי זר	זר, התאגיד שהשליטה בו, היא בידי זר.	זר הוא תאגיד שהשליטה בו היא בידי זר	זר התאגיד שהשליטה בו היא בידי זר	זר->זר | הוא-><eps> | תאגיד->התאגיד | שהשליטה->שהשליטה | בו->בו | היא->היא | בידי->בידי | זר->זר	0.2500
common_voice_he_41019364	הארכת חיים, מצילות חיים, מאריכות חיים	הערכת חיים, מצילות חיים, מעריכות חיים	הארכת חיים מצילות חיים מאריכות חיים	הערכת חיים מצילות חיים מעריכות חיים	הארכת->הערכת | חיים->חיים | מצילות->מצילות | חיים->חיים | מאריכות->מעריכות | חיים->חיים	0.3333
common_voice_he_41616556	קווי רכבת כמו אשקלון-שדרות-באר-שבע	קווי רכבת כמו אשקלון, סדרות, באר שבע	קווי רכבת כמו אשקלון שדרות באר 7	קווי רכבת כמו אשקלון סדרות באר 7	קווי->קווי | רכבת->רכבת | כמו->כמו | אשקלון->אשקלון | שדרות->סדרות | באר->באר | 7->7	0.1429
common_voice_he_41616557	יהדות התורה מציעה שינוי במדיניות הכלכלית-החברתית	יהדות התורה מציעה שינוי במדיניות הכלכלית החברתית.	יהדות התורה מציעה שינוי במדיניות הכלכלית החברתית	יהדות התורה מציעה שינוי במדיניות הכלכלית החברתית	יהדות->יהדות | התורה->התורה | מציעה->מציעה | שינוי->שינוי | במדיניות->במדיניות | הכלכלית->הכלכלית | החברתית->החברתית	0.0000
common_voice_he_41616558	מְכַרְסֵם בְּאָזְנֶיךָ בְּמֶשֶׁךְ שָׁעוֹת תְּמִימוֹת לְלֹא הַפְסָקָה	מכרסם באוזניך במשך שעות תמימות ללא הפסקה.	מכרסם באוזניך במשך שעות תמימות ללא הפסקה	מכרסם באוזניך במשך שעות תמימות ללא הפסקה	מכרסם->מכרסם | באוזניך->באוזניך | במשך->במשך | שעות->שעות | תמימות->תמימות | ללא->ללא | הפסקה->הפסקה	0.0000
common_voice_he_39350850	גם הורדו טיפוליו לרמת קופת-חולים	גם אם תראו את כיפוליו זה רמת כוחת חיים	גם הורדו טיפוליו לרמת קופת חולים	גם אם תראו את כיפוליו זה רמת כוחת חיים	גם->גם | <eps>->אם | <eps>->תראו | <eps>->את | הורדו->כיפוליו | טיפוליו->זה | לרמת->רמת | קופת->כוחת | חולים->חיים	1.3333
common_voice_he_39350851	הטנור שלנו שכח את קולו בביתו.	הטנור שלנו שכח את חולו בבית.	הטנור שלנו שכח את קולו בביתו	הטנור שלנו שכח את חולו בבית	הטנור->הטנור | שלנו->שלנו | שכח->שכח | את->את | קולו->חולו | בביתו->בבית	0.3333
common_voice_he_39350852	יש שם קבוצה מעורבת מעבריינים מהסוגים השונים	‫לא סתם בקבוצה מהרגע, ‫אבל באמת מסוגים שונים.	יש שם קבוצה מעורבת מעבריינים מהסוגים השונים	‫לא סתם בקבוצה מהרגע ‫אבל באמת מסוגים שונים	<eps>->‫לא | יש->סתם | שם->בקבוצה | קבוצה->מהרגע | מעורבת->‫אבל | מעבריינים->באמת | מהסוגים->מסוגים | השונים->שונים	1.1429
common_voice_he_40630793	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים.	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים	קניון->קניון | הדר->הדר | הוא->הוא | נקודת->נקודת | החלפה->החלפה | בין->בין | אוטובוסים->אוטובוסים | שונים->שונים	0.0000
common_voice_he_40630794	שבארצות-הברית למשל יש בחינה פעם אחת בשנה	שבארצות הברית למשל יש תחילה פעם אחת בשנה.	שבארצות הברית למשל יש בחינה פעם אחת בשנה	שבארצות הברית למשל יש תחילה פעם אחת בשנה	שבארצות->שבארצות | הברית->הברית | למשל->למשל | יש->יש | בחינה->תחילה | פעם->פעם | אחת->אחת | בשנה->בשנה	0.1250
common_voice_he_40630795	אני לא מכיר מנגנון כזה בשום תחום	אני לא מקים מנגנון כזה, אני מקים קצור.	אני לא מכיר מנגנון כזה בשום תחום	אני לא מקים מנגנון כזה אני מקים קצור	אני->אני | לא->לא | מכיר->מקים | מנגנון->מנגנון | כזה->כזה | <eps>->אני | בשום->מקים | תחום->קצור	0.5714
common_voice_he_41066670	גם החישובים מבחינה פיננסית זה צחוק	גם החישובים מבחינה פיננסית זה צחוק.	גם החישובים מבחינה פיננסית זה צחוק	גם החישובים מבחינה פיננסית זה צחוק	גם->גם | החישובים->החישובים | מבחינה->מבחינה | פיננסית->פיננסית | זה->זה | צחוק->צחוק	0.0000
common_voice_he_41066672	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים.	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים	בוא->בוא | ניתן->ניתן | לזה->לזה | קצת->קצת | זמן->זמן | ונראה->ונראה | איך->איך | הדברים->הדברים | מתנהלים->מתנהלים	0.0000
common_voice_he_41066673	מתנהלת בפומבי, בבית-משפט, בדלתיים פתוחות	מתנהלת בפומבי בבית משפט בדלתיים פתוחות.	מתנהלת בפומבי בבית משפט בדלתיים פתוחות	מתנהלת בפומבי בבית משפט בדלתיים פתוחות	מתנהלת->מתנהלת | בפומבי->בפומבי | בבית->בבית | משפט->משפט | בדלתיים->בדלתיים | פתוחות->פתוחות	0.0000
common_voice_he_40858574	שלא זו בלבד שזה לא מביא צמיחה	שלא זו בלבד שזה לא מוביל צמיחה.	שלא זו בלבד שזה לא מביא צמיחה	שלא זו בלבד שזה לא מוביל צמיחה	שלא->שלא | זו->זו | בלבד->בלבד | שזה->שזה | לא->לא | מביא->מוביל | צמיחה->צמיחה	0.1429
common_voice_he_40858577	הכרה זו אינה פוטרת את הספורטאים משירות	הבראה זו אינה פוטרת את כספוטאים משירות.	הכרה זו אינה פוטרת את הספורטאים משירות	הבראה זו אינה פוטרת את כספוטאים משירות	הכרה->הבראה | זו->זו | אינה->אינה | פוטרת->פוטרת | את->את | הספורטאים->כספוטאים | משירות->משירות	0.2857
common_voice_he_40858579	מה ההבדל בין השטח הכבוש שנקרא אוניברסיטת תל-אביב	מה ההבדל בין השטח הכבוש שנקרא אוניברסיטת תל אביב?	מה ההבדל בין השטח הכבוש שנקרא אוניברסיטת תל אביב	מה ההבדל בין השטח הכבוש שנקרא אוניברסיטת תל אביב	מה->מה | ההבדל->ההבדל | בין->בין | השטח->השטח | הכבוש->הכבוש | שנקרא->שנקרא | אוניברסיטת->אוניברסיטת | תל->תל | אביב->אביב	0.0000
common_voice_he_38283249	הַהַכְנָסָה הַיּוֹתֵר גְּדוֹלָה הִיא מִמְּכִירַת בּוּלִים.	כך הכניסה יותר גדולה היא כניסה גדולה.	ההכנסה היותר גדולה היא ממכירת בולים	כך הכניסה יותר גדולה היא כניסה גדולה	<eps>->כך | ההכנסה->הכניסה | היותר->יותר | גדולה->גדולה | היא->היא | ממכירת->כניסה | בולים->גדולה	0.8333
common_voice_he_38283250	אָהַבְתִּי אֶתְכֶם, סַפָּנִים, הַיּוֹצְאִים בְּשִׁיר זֶמֶר תָּמִים	אהבתי אתכם, סופנים, הייתי בשיר הרבה פעמים.	אהבתי אתכם ספנים היוצאים בשיר זמר תמים	אהבתי אתכם סופנים הייתי בשיר הרבה פעמים	אהבתי->אהבתי | אתכם->אתכם | ספנים->סופנים | היוצאים->הייתי | בשיר->בשיר | זמר->הרבה | תמים->פעמים	0.5714
common_voice_he_38283253	אֲנָשִׁים יָצְאוּ מִכָּאן, בִּמְקוֹם סְפּוֹרְטָאִים, בְּעָלֵי חֶשְׁבּוֹן	אנשים יצאו מכאן במקום ספורטאים בעלי חשבון.	אנשים יצאו מכאן במקום ספורטאים בעלי חשבון	אנשים יצאו מכאן במקום ספורטאים בעלי חשבון	אנשים->אנשים | יצאו->יצאו | מכאן->מכאן | במקום->במקום | ספורטאים->ספורטאים | בעלי->בעלי | חשבון->חשבון	0.0000
common_voice_he_41869858	מאמץ מרוכז לאיתור ולהחרמת אמצעי לחימה בלתי חוקיים	מאמץ מרוחב לאיתור ולהחרמת אמצעי לחימה בלתי חוקיים	מאמץ מרוכז לאיתור ולהחרמת אמצעי לחימה בלתי חוקיים	מאמץ מרוחב לאיתור ולהחרמת אמצעי לחימה בלתי חוקיים	מאמץ->מאמץ | מרוכז->מרוחב | לאיתור->לאיתור | ולהחרמת->ולהחרמת | אמצעי->אמצעי | לחימה->לחימה | בלתי->בלתי | חוקיים->חוקיים	0.1250
common_voice_he_41869860	כשממקמים מתקן גז בהיקף כזה בתוך אזור שממילא הוא רווי במפעלים וחומרים מסוכנים	כשממקמים מתקן גז בהיקף כזה בתוך אזור שממלא הוא רווי מפעלים וחומרים מסוכנים.	כשממקמים מתקן גז בהיקף כזה בתוך אזור שממילא הוא רווי במפעלים וחומרים מסוכנים	כשממקמים מתקן גז בהיקף כזה בתוך אזור שממלא הוא רווי מפעלים וחומרים מסוכנים	כשממקמים->כשממקמים | מתקן->מתקן | גז->גז | בהיקף->בהיקף | כזה->כזה | בתוך->בתוך | אזור->אזור | שממילא->שממלא | הוא->הוא | רווי->רווי | במפעלים->מפעלים | וחומרים->וחומרים | מסוכנים->מסוכנים	0.1538
common_voice_he_41869861	באמת תודה רבה לכל אלה ששותפים	באמת תודה רבה לכל אלה ששותפים.	באמת תודה רבה לכל אלה ששותפים	באמת תודה רבה לכל אלה ששותפים	באמת->באמת | תודה->תודה | רבה->רבה | לכל->לכל | אלה->אלה | ששותפים->ששותפים	0.0000
common_voice_he_38883182	וְאִלּוּ מָה שֶׁשִּׁיֵּךְ לְקֶרַע בְּנֶפֶשׁ, הֲרֵי זֶה בָּרוּר וּמוּבָן	ואילו מה ששייך לקרע בנפש הרי זה ברור ומובן.	ואילו מה ששיך לקרע בנפש הרי זה ברור ומובן	ואילו מה ששיך לקרע בנפש הרי זה ברור ומובן	ואילו->ואילו | מה->מה | ששיך->ששיך | לקרע->לקרע | בנפש->בנפש | הרי->הרי | זה->זה | ברור->ברור | ומובן->ומובן	0.0000
common_voice_he_38883183	הוא לא אלוהי אברהם, יצחק ויעקב	קיבלו אלוהי אברהם, יצחק ויעקב	הוא לא אלוהי אברהם יצחק ויעקב	קיבלו אלוהי אברהם יצחק ויעקב	הוא-><eps> | לא->קיבלו | אלוהי->אלוהי | אברהם->אברהם | יצחק->יצחק | ויעקב->ויעקב	0.3333
common_voice_he_38883184	עַכְשָׁיו הִיא הִתְחִילָה לִתְפּוֹס מִפְּנֵי מָה הִסְתַּלְּקוּ לָהֶן כָּל שְׁאָר הָעֻובְדּוֹת	עכשיו היא התחילה לתפוס בתנועה התחלקו להם כל שאר העובדות.	עכשיו היא התחילה לתפוס מפני מה הסתלקו להן כל שאר העובדות	עכשיו היא התחילה לתפוס בתנועה התחלקו להם כל שאר העובדות	עכשיו->עכשיו | היא->היא | התחילה->התחילה | לתפוס->לתפוס | מפני-><eps> | מה->בתנועה | הסתלקו->התחלקו | להן->להם | כל->כל | שאר->שאר | העובדות->העובדות	0.3636
common_voice_he_38883186	עָשִׂיתִי כֶּסֶף רַב, וְהִנֵּה, בְּאַחַד הַיָּמִים הָלַךְ כָּל הַכֶּסֶף לַעֲזָאזֵל בְּעֵסֶק בִּישׁ.	עשיתי כסף רב, והנה באחד הימים הלך כל הכסף לעזאזל בעסק ביש.	עשיתי כסף רב והנה באחד הימים הלך כל הכסף לעזאזל בעסק ביש	עשיתי כסף רב והנה באחד הימים הלך כל הכסף לעזאזל בעסק ביש	עשיתי->עשיתי | כסף->כסף | רב->רב | והנה->והנה | באחד->באחד | הימים->הימים | הלך->הלך | כל->כל | הכסף->הכסף | לעזאזל->לעזאזל | בעסק->בעסק | ביש->ביש	0.0000
common_voice_he_41486333	הארנונה בדימונה מוגזמת לעומת ירוחם	הארנונה בדימונה מוגזמת לעומת ברכה.	הארנונה בדימונה מוגזמת לעומת ירוחם	הארנונה בדימונה מוגזמת לעומת ברכה	הארנונה->הארנונה | בדימונה->בדימונה | מוגזמת->מוגזמת | לעומת->לעומת | ירוחם->ברכה	0.2000
common_voice_he_41486334	לבין סטודנטים שלמדו כאן באוניברסיטאות בארץ	לבין סטודנטים שלומדו כאן באוניברסיטאות בארץ.	לבין סטודנטים שלמדו כאן באוניברסיטאות בארץ	לבין סטודנטים שלומדו כאן באוניברסיטאות בארץ	לבין->לבין | סטודנטים->סטודנטים | שלמדו->שלומדו | כאן->כאן | באוניברסיטאות->באוניברסיטאות | בארץ->בארץ	0.1667
common_voice_he_41486336	שמעתי שם הערות מאוד מעניינות לגבי תוכנית ההתנתקות והיציאה מעזה	שמעתי שהמערות מאוד מעניינות לגבי תוכנית ההתנתקות והיציאה מעזה.	שמעתי שם הערות מאוד מעניינות לגבי תוכנית ההתנתקות והיציאה מעזה	שמעתי שהמערות מאוד מעניינות לגבי תוכנית ההתנתקות והיציאה מעזה	שמעתי->שמעתי | שם-><eps> | הערות->שהמערות | מאוד->מאוד | מעניינות->מעניינות | לגבי->לגבי | תוכנית->תוכנית | ההתנתקות->ההתנתקות | והיציאה->והיציאה | מעזה->מעזה	0.2000
common_voice_he_41486337	ניסן סלומינסקי ואמנון כהן לוועדת הפנים ואיכות הסביבה נתקבלה	ניסן סלומינסקי ואמנון כהן לוועדת הפנים ואיכות הסביבה נתקבלו.	ניסן סלומינסקי ואמנון כהן לוועדת הפנים ואיכות הסביבה נתקבלה	ניסן סלומינסקי ואמנון כהן לוועדת הפנים ואיכות הסביבה נתקבלו	ניסן->ניסן | סלומינסקי->סלומינסקי | ואמנון->ואמנון | כהן->כהן | לוועדת->לוועדת | הפנים->הפנים | ואיכות->ואיכות | הסביבה->הסביבה | נתקבלה->נתקבלו	0.1111
common_voice_he_40972184	בראשון-לציון לא מדובר בעשרים טונות גז	ברית מן ציון לא מדובר ב-20 טונות.	בראשון לציון לא מדובר ב20 טונות גז	ברית מן ציון לא מדוברב 20 טונות	<eps>->ברית | בראשון->מן | לציון->ציון | לא->לא | מדובר->מדוברב | ב20->20 | טונות->טונות | גז-><eps>	0.8571
common_voice_he_40972185	סגניו מאוימים, רימונים הושלכו לתוך חצרותיהם	גנב מאוימים, מבינים את מכל התוכנית של התוכנית.	סגניו מאוימים רימונים הושלכו לתוך חצרותיהם	גנב מאוימים מבינים את מכל התוכנית של התוכנית	סגניו->גנב | מאוימים->מאוימים | <eps>->מבינים | <eps>->את | רימונים->מכל | הושלכו->התוכנית | לתוך->של | חצרותיהם->התוכנית	1.1667
common_voice_he_40972186	אני מניח שהוא לא מצפה שזה יקרה מחר	אני מניח שהוא לא מטפש את זה יותר מחר.	אני מניח שהוא לא מצפה שזה יקרה מחר	אני מניח שהוא לא מטפש את זה יותר מחר	אני->אני | מניח->מניח | שהוא->שהוא | לא->לא | <eps>->מטפש | מצפה->את | שזה->זה | יקרה->יותר | מחר->מחר	0.5000
common_voice_he_40972188	לא רק ברמה העקרונית אלא גם ברמה התפעולית	לא רק ברמה העקרונית אלא גם ברמה התפעולית.	לא רק ברמה העקרונית אלא גם ברמה התפעולית	לא רק ברמה העקרונית אלא גם ברמה התפעולית	לא->לא | רק->רק | ברמה->ברמה | העקרונית->העקרונית | אלא->אלא | גם->גם | ברמה->ברמה | התפעולית->התפעולית	0.0000
common_voice_he_40909673	כי גם כך הוא רעב וממהר	כי גם כך הוא ראה וממהר.	כי גם כך הוא רעב וממהר	כי גם כך הוא ראה וממהר	כי->כי | גם->גם | כך->כך | הוא->הוא | רעב->ראה | וממהר->וממהר	0.1667
common_voice_he_40909674	אנחנו עדים לכך שמקומות יהודיים הם יעד פורענות למפגעים	אנחנו עדים לכך שמקומות יהודיים הם יעד פורענות למבקעים.	אנחנו עדים לכך שמקומות יהודיים הם יעד פורענות למפגעים	אנחנו עדים לכך שמקומות יהודיים הם יעד פורענות למבקעים	אנחנו->אנחנו | עדים->עדים | לכך->לכך | שמקומות->שמקומות | יהודיים->יהודיים | הם->הם | יעד->יעד | פורענות->פורענות | למפגעים->למבקעים	0.1111
common_voice_he_40909676	למה היא צריכה לגבות מהם אגרה	למה היא צריכה לגבות מהמגע?	למה היא צריכה לגבות מהם אגרה	למה היא צריכה לגבות מהמגע	למה->למה | היא->היא | צריכה->צריכה | לגבות->לגבות | מהם-><eps> | אגרה->מהמגע	0.3333
common_voice_he_40909677	לא אצל המובטלים ולא אצל החרדים	לא יוצא למובטלים ולא יוצא לחרדים.	לא אצל המובטלים ולא אצל החרדים	לא יוצא למובטלים ולא יוצא לחרדים	לא->לא | אצל->יוצא | המובטלים->למובטלים | ולא->ולא | אצל->יוצא | החרדים->לחרדים	0.6667
common_voice_he_39897721	בסין יש רכבות מהירות שמגיעות עד ארבע מאות קמש	לנסיעים יש רכבות מהירות שמגיעות עד ארבע מאות חמש.	בסין יש רכבות מהירות שמגיעות עד 400 קמש	לנסיעים יש רכבות מהירות שמגיעות עד 400 חמש	בסין->לנסיעים | יש->יש | רכבות->רכבות | מהירות->מהירות | שמגיעות->שמגיעות | עד->עד | 400->400 | קמש->חמש	0.2500
common_voice_he_39897722	והערכים היקרים הם: דע מה למעלה ממך	והערכים היקרים הם דע מה למעלה ממך.	והערכים היקרים הם דע מה למעלה ממך	והערכים היקרים הם דע מה למעלה ממך	והערכים->והערכים | היקרים->היקרים | הם->הם | דע->דע | מה->מה | למעלה->למעלה | ממך->ממך	0.0000
common_voice_he_39897723	הם לא נעצרו, הם לא נשפטו	הם לא נעצרו, הם לא נשפטו.	הם לא נעצרו הם לא נשפטו	הם לא נעצרו הם לא נשפטו	הם->הם | לא->לא | נעצרו->נעצרו | הם->הם | לא->לא | נשפטו->נשפטו	0.0000
common_voice_he_39897724	אנחנו לקראת משהו באלפיים ושלוש עשרה	אנחנו לקראת משהו ב-2013.	אנחנו לקראת משהו ב2013	אנחנו לקראת משהוב 2013	אנחנו->אנחנו | לקראת->לקראת | משהו->משהוב | ב2013->2013	0.5000
common_voice_he_43281934	אלא אם כן יש מי שמתנגד	על האם כן יש מי שמתנגד?	אלא אם כן יש מי שמתנגד	על האם כן יש מי שמתנגד	אלא->על | אם->האם | כן->כן | יש->יש | מי->מי | שמתנגד->שמתנגד	0.3333
common_voice_he_43281935	ואני נמצא פה משנת אלף תשע מאות שמונים ושמונה	ואני נמצא פה משנת 1978.	ואני נמצא פה משנת 1988	ואני נמצא פה משנת 1978	ואני->ואני | נמצא->נמצא | פה->פה | משנת->משנת | 1988->1978	0.2000
common_voice_he_43281936	ליד כיכר רבין יש את המקום עם הסושי הכי טוב שאכלתי בחיים	ליד כיכר רבים יש את המקום עם הסושה הכי טוב שאכלתי בחיים.	ליד כיכר רבין יש את המקום עם הסושי הכי טוב שאכלתי בחיים	ליד כיכר רבים יש את המקום עם הסושה הכי טוב שאכלתי בחיים	ליד->ליד | כיכר->כיכר | רבין->רבים | יש->יש | את->את | המקום->המקום | עם->עם | הסושי->הסושה | הכי->הכי | טוב->טוב | שאכלתי->שאכלתי | בחיים->בחיים	0.1667
common_voice_he_43281938	אבל אני רוצה לוודא סופית שאנחנו באים עם דברים מסודרים	אבל אני רוצה לרכוש פתיח שאנחנו באים עם דברים מצוינים.	אבל אני רוצה לוודא סופית שאנחנו באים עם דברים מסודרים	אבל אני רוצה לרכוש פתיח שאנחנו באים עם דברים מצוינים	אבל->אבל | אני->אני | רוצה->רוצה | לוודא->לרכוש | סופית->פתיח | שאנחנו->שאנחנו | באים->באים | עם->עם | דברים->דברים | מסודרים->מצוינים	0.3000
common_voice_he_40067774	איגוד ערים ושירותי כבאות, אזור אשקלון	עיבוד ערים ושירותי קרוב,	איגוד ערים ושירותי כבאות אזור אשקלון	עיבוד ערים ושירותי קרוב	איגוד->עיבוד | ערים->ערים | ושירותי->ושירותי | כבאות-><eps> | אזור-><eps> | אשקלון->קרוב	0.6667
common_voice_he_40067775	מתוקף תפקידי כיושב-ראש ועדת הכספים	מתוקף תפקידי כיושב ראש ועדת כספים.	מתוקף תפקידי כיושב ראש ועדת הכספים	מתוקף תפקידי כיושב ראש ועדת כספים	מתוקף->מתוקף | תפקידי->תפקידי | כיושב->כיושב | ראש->ראש | ועדת->ועדת | הכספים->כספים	0.1667
common_voice_he_40067777	אַבָּא רָץ אִתִּי. בַּיַּעַר שָׁאַל אַבָּא אֶת אִמִּי הֵיכָן חַנָה’לִי.	אבא רץ איתי ביער, ושאל את אמי היכן חנלה.	אבא רץ אתי ביער שאל אבא את אמי היכן חנה לי	אבא רץ אתי ביער ושאל את אמי היכן חנלה	אבא->אבא | רץ->רץ | אתי->אתי | ביער->ביער | שאל-><eps> | אבא->ושאל | את->את | אמי->אמי | היכן->היכן | חנה-><eps> | לי->חנלה	0.3636
common_voice_he_40067778	נחקר במשך כשעה ובסיומה שוחרר לדרכו	נחקר במשך כשעה ובסיומה שוחרר לדרכו.	נחקר במשך כשעה ובסיומה שוחרר לדרכו	נחקר במשך כשעה ובסיומה שוחרר לדרכו	נחקר->נחקר | במשך->במשך | כשעה->כשעה | ובסיומה->ובסיומה | שוחרר->שוחרר | לדרכו->לדרכו	0.0000
common_voice_he_38744643	שחלקם העז למרוד ולהצביע בנושא הערבה ביושר	שחלקם מעז למרוד ולהצביע בפריסה הראשונה שלהם.	שחלקם העז למרוד ולהצביע בנושא הערבה ביושר	שחלקם מעז למרוד ולהצביע בפריסה הראשונה שלהם	שחלקם->שחלקם | העז->מעז | למרוד->למרוד | ולהצביע->ולהצביע | בנושא->בפריסה | הערבה->הראשונה | ביושר->שלהם	0.5714
common_voice_he_38744644	ולכן כל הטכנולוגיה שאפשר להכניס ולהגביל	ולכן כל הטכנולוגיה שאפשר להכניס ולהגדיר.	ולכן כל הטכנולוגיה שאפשר להכניס ולהגביל	ולכן כל הטכנולוגיה שאפשר להכניס ולהגדיר	ולכן->ולכן | כל->כל | הטכנולוגיה->הטכנולוגיה | שאפשר->שאפשר | להכניס->להכניס | ולהגביל->ולהגדיר	0.1667
common_voice_he_38744646	"הַמַּחְלָקָה הַשְּׁבִיעִית שֶׁל ""תַּרְבּוּת"" אֲבֵדָה עִם הַמּוֹרֶה."	המחלקה השביעית של תרבות עובדה היא למורה.	המחלקה השביעית של תרבות אבדה עם המורה	המחלקה השביעית של תרבות עובדה היא למורה	המחלקה->המחלקה | השביעית->השביעית | של->של | תרבות->תרבות | אבדה->עובדה | עם->היא | המורה->למורה	0.4286
common_voice_he_38744647	לְעִסַּת הַחֲמוּרִים הִשְׁרְתָה מְנוּחָה בָּאָסָם	ליסת החמורים נשרתה מלוכה באסון.	לעיסת החמורים השרתה מנוחה באסם	ליסת החמורים נשרתה מלוכה באסון	לעיסת->ליסת | החמורים->החמורים | השרתה->נשרתה | מנוחה->מלוכה | באסם->באסון	0.8000
common_voice_he_38094978	אָרְכוּ הַלֵּילוֹת וְקָצְרוּ הַיָּמִים	אחורה, פצוע ימי.	ארכו הלילות וקצרו הימים	אחורה פצוע ימי	ארכו-><eps> | הלילות->אחורה | וקצרו->פצוע | הימים->ימי	1.0000
common_voice_he_38094979	נשכבתי ליד המים השקטים.	השכרתי ליד המים השקטים.	נשכבתי ליד המים השקטים	השכרתי ליד המים השקטים	נשכבתי->השכרתי | ליד->ליד | המים->המים | השקטים->השקטים	0.2500
common_voice_he_38094980	הֲרֵי זֶה נִקְרָא לָקַחַת חֶרְמֵשׁ בַּיָּדַיִם.	הרי זה נקרא לקחת חרמיש באגדני	הרי זה נקרא לקחת חרמש בידיים	הרי זה נקרא לקחת חרמיש באגדני	הרי->הרי | זה->זה | נקרא->נקרא | לקחת->לקחת | חרמש->חרמיש | בידיים->באגדני	0.3333
