Reference	Hypothesis	Count
מיקרוספוט	מיקרוסופט	1
גיטהאב	גיטה	1
מליארדים	מיליארדים	1
שמגיעים	כשמגיעים	1
גם	שגם	1
שאם	אם	1
30	ב	1
1	31	1
ויעקוב	ויעקב	1
פתע	פטע	1
1000	1	1
ו500	500	1
ש	חדש	1
עמיתי	אמיתי	1
אשה	אישה	1
היריון	הריון	1
מונטריות	מוניטריות	1
פלשתים	פלישתים	1
עויבד	אובד	1
לכזה	לחזה	1
<inserted>	אם	1
אםיש	יש	1
ותקותך	ותקוותך	1
תכרת	תיכרת	1
סוריים	סורים	1
תמצא	תימצא	1
פעלות	פעולות	1
לפעל	לפועל	1
האשה	האישה	1
הרס	<deleted>	1
רים	הרסארים	1
הרב	<deleted>	1
טים	הרבתים	1
מונע	מוני	1
דיכאון	הדיכאון	1
20	בכ	1
המתבצעות	המתבצעת	1
אם	עם	1
נימצא	נמצא	1
באורח	באורך	1
ייטול	יטול	1
<inserted>	לא	1
לאיתערב	התערב	1
עתה	אתה	1
כשבועים	כשבועיים	1
גלינו	גילינו	1
לעתים	לעיתים	1
במלא	במלוא	1
הרגו	הרגנו	1
אחרי	אחריי	1
כלם	כולם	1
מלים	מילים	1
ההרגשות	הרגשות	1
מי	<deleted>	1
הנך	מינך	1
ההרים	הערים	1
3	<deleted>	1
10	13	1
<inserted>	בני	1
בניהאדם	אדם	1
<inserted>	אומר	1
אומרת	את	1
<inserted>	כותב	1
כותבת	את	1
חדשים	חודשים	1
חפשתי	חיפשתי	1
<inserted>	יוסי	1
יוסילי	לי	1
<inserted>	חדר	1
חדרהקריאה	הקריאה	1
<inserted>	הרי	1
הריהו	הוא	1
בקור	ביקור	1
יזקין	הזקין	1
חופשיים	חופשים	1
הגזירות	הגזרות	1
מטילים	מתינים	1
<inserted>	את	1
אתיהוה	אדוני	1
אלהיהם	אלוהיהם	1
כלאיביהם	אויביהם	1
גורים	איגורים	1
הנורוגי	הנורבגי	1
ייפלו	יפלו	1
ויסבלו	ויספלו	1
הביאו	הבינו	1
כוכבי	כאבי	1
עם	אם	1
סחים	סכין	1
הו	או	1
ולאנשים	ואנשים	1
במדה	במידה	1
לתארה	לטהרה	1
שאת	<deleted>	1
נמצאת	<deleted>	1
בו	שהתמותית	1
יותר	ויותר	1
לאהוב	לארץ	1
תהא	תהיה	1
היצירה	הישירה	1
בדורה	בזורה	1
היטבתי	כיתבתי	1
עשות	לעשות	1
שאיזה	<deleted>	1
ילד	שהילד	1
שהתאריך	שהתאריק	1
<inserted>	כראש	1
כראשהשנה	השנה	1
צוננת	צורננו	1
חדה	חטא	1
ברחובות	ברכבות	1
ומשפחה	למשפחה	1
<inserted>	הוא	1
פה	בבית	1
בביתספר	ספר	1
מוחק	מוהק	1
ומצייר	מצייר	1
אינו	אילו	1
ניזוק	נזעוק	1
בנפילה	ונטילה	1
צמרות	שמורות	1
ברוח	לרוח	1
<inserted>	יום	1
יוםיום	יום	1
עם	אין	1
אדע	עידה	1
הקרוב	הכלוף	1
אגרת	יגאל	1
זו	נצור	1
כשחזרתי	כשחדרתי	1
בתחנה	בתקנה	1
וענשו	והונשוי	1
הגגון	הגאול	1
<inserted>	שדה	1
תבן	בל	1
והחלונות	וחלונות	1
פה	<deleted>	1
מצב	במצב	1
על	עליו	1
הקושי	קושי	1
מאין	מהאין	1
בן	בין	1
שפגעו	<deleted>	1
בו	שבאו	1
והדועכות	והדורחות	1
ספרו	סיפרו	1
נדירים	לגרים	1
את	עד	1
כובלת	קובלת	1
והנני	והילני	1
קרה	תרע	1
הסתיו	עשתה	1
משלמות	בשלמות	1
זה	<deleted>	1
כמה	לכמה	1
ערכה	הערכה	1
חמוץ	חמות	1
אין	<deleted>	1
לו	אינו	1
קבועים	תנועים	1
צמחוני	צמקוני	1
ובו	ובוא	1
בבגדי	בבקדי	1
אימה	איומה	1
מטפטף	קטפטפת	1
רותי	אותי	1
מה	מי	1
איזה	ידי	1
ובישר	ובישל	1
שהילדים	שילדים	1
התקלקלו	יתקלקלו	1
<inserted>	בהיל	1
בהיר	על	1
הלילה	העיגה	1
תמהרי	תמארי	1
ונוחי	ולא	1
שומשום	שונשון	1
מבהיל	מפעיל	1
<inserted>	ומי	1
ומעל	על	1
לכל	החול	1
צריכה	שקל	1
הנהו	אילנו	1
<inserted>	מלכודת	1
מלכדת	את	1
לתרנגולות	הנבולות	1
להתחצף	להתחשב	1
לזריקה	לדריקה	1
מאז	מיד	1
התהלך	התהלק	1
היא	אי	1
נגועה	נגוח	1
באי	ואי	1
אפלו	אפילו	1
קובר	כובל	1
<inserted>	עם	1
מקנאה	מטינה	1
זקנה	זקינה	1
<inserted>	מיטתה	1
מטתה	באופל	1
באפל	מטענה	1
מתאנחת	1	1
עף	אך	1
בהרבה	בהרדיי	1
תחזר	תחזור	1
להפגין	להפתיע	1
ההרגשה	הרגשה	1
ונשנה	ונשמע	1
הים	היה	1
<inserted>	עד	1
הזה	אל	1
נשתתקו	השתתקו	1
לשמע	בשמת	1
<inserted>	בית	1
ביתמקדש	מקדש	1
ואיך	והצבי	1
הצליחה	ככה	1
הפעולה	פעולה	1
חושך	קושך	1
שיחזירו	שהחזירו	1
<inserted>	סביבך	1
סביב	מהוראות	1
המאורעות	בארץ	1
בארץישראל	ישראל	1
עכשו	עכשיו	1
בר	בה	1
סמכא	שמך	1
מנוחה	מלוכה	1
בחיים	בחלים	1
כלכך	כך	1
המחזיר	המגזיל	1
באה	בא	1
שירת	שיירת	1
<inserted>	הילד	1
אלה	של	1
שבאו	פאור	1
מששמעתי	כששמעתי	1
<inserted>	אחרי	1
אחריכן	כן	1
תוכי	צוקי	1
היום	כיום	1
<inserted>	לך	1
הדבר	דבר	1
וחיכנית	והיכנית	1
הוזמן	וזמן	1
<inserted>	חדש	1
מטכ	<deleted>	1
ל	מטכל	1
השיטין	השיטים	1
לדוגמא	לדוגמה	1
גיהנום	גיהינום	1
המשוט	המשות	1
מינהלי	מנהלי	1
6	2006	1
שלוף	בשלוף	1
5	ש	1
אחוז	5	1
גזירות	גזרות	1
האולם	העולם	1
אחוז	<deleted>	1
מתכון	מתכוון	1
ליצג	לייצג	1
50	<deleted>	1
6	1956	1
ד	<deleted>	1
ר	דוקטור	1
פיסבוק	פייסבוק	1
ואווטסאפ	ווואטסאפ	1
צלאח	סלאח	1
נזכור	נזקור	1
בנייני	לבנייני	1
אלטרנטיבים	אלטרנטיביים	1
הממוגנים	המוגנים	1
הרינו	הריינו	1
משא	מסע	1
לעיפה	לעייפה	1
כשרונות	כישרונות	1
ממנה	ממונה	1
חמשת	5	1
אלפים	0	1
הזיקנה	הזקנה	1
מחכה	המחכה	1
אחוזים	<deleted>	1
שלקולות	הקולות	1
אהרן	אהרון	1
בדברי	בדבריי	1
הזה	זה	1
המליונים	המיליונים	1
אלבורג	הולבורג	1
בהעדר	בהיעדר	1
שיתנגדו	שהתנגדו	1
זק	<deleted>	1
א	זקה	1
<inserted>	מקום	1
מקוםהתישבות	התיישבות	1
בבלגיה	בבלביה	1
9	ב	1
אחוזים	29	1
10	12	1
רע	<deleted>	1
ם	<deleted>	1
תע	רעם	1
ל	תעל	1
העדר	היעדר	1
20	ב	1
6	26	1
3	2003	1
100	1	1
80	180	1
5	מ	1
לבי	ליבי	1
הסולרית	הסולארית	1
מצדם	מצידם	1
צפורה	ציפורה	1
בלאטה	בלטה	1
תסע	תיסע	1
<inserted>	צ	1
טשנרחובסקי	רניחובסקי	1
מהערים	מהארים	1
מוסטפה	<deleted>	1
אג	מוסטפא	1
באריה	אגבאריה	1
התמ	<deleted>	1
ת	התמת	1
בסודן	בסודאן	1
גדרף	אגדרף	1
זכרונות	זיכרונות	1
נהרייה	נהריה	1
8	2008	1
<inserted>	אל	1
אלתעזבו	תעזבו	1
יקח	ייקח	1
שצה	<deleted>	1
ל	שצהל	1
לקסקלי	לקסיקלי	1
ומכער	ומכוער	1
<inserted>	ויתנו	1
ויתנולו	לו	1
וישכר	ויסקור	1
ופחזים	ופוחזים	1
המינהליות	המנהליות	1
לאפנו	לאפינו	1
מבחן	במבחן	1
האצ	<deleted>	1
ל	האצל	1
בריילובסקי	ביילובסקי	1
2	22	1
הודנה	להודנה	1
בל	<deleted>	1
ד	חדש	1
רע	בלד	1
ם	רעם	1
רבותי	רבותיי	1
בית	שבית	1
אישום	אישור	1
י	<deleted>	1
ב	יב	1
<inserted>	לפי	1
<inserted>	שכלו	1
<inserted>	יהולל	1
לפישכלו	איש	1
יהללאיש	ונעבה	1
ונעוהלב	לב	1
המלים	המילים	1
<inserted>	כ	1
כ400	400	1
אינתיפאדת	אינתיפדת	1
שלמשתתף	משתתף	1
