Reference	Hypothesis	Count
אֲרֻכָּה	הלוחקה	1
עָבַרְנוּ	עברנו.	1
השמים	השמיים	1
מעוננים	מעוננים.	1
אֵינִי	<deleted>	1
יוֹדַעַת	איני	1
מִשוּם	יודעת	1
מָה	משום	1
רֶגַע.	רגע.	1
לוּ	לו	1
אַנְשֵׁי	אנשי	1
הַקְּבוּצָה	הקבוצה	1
אוֹכְלִים	אוכלים	1
כָּמוֹהוּ	כמוהו.	1
מתישים	מתישים.	1
כן	<deleted>	1
זה	כסף	1
האלה	האלה.	1
מַדּוּעַ	מדוע	1
פָּנַיִיךְ	פניי	1
כֹּה	כה	1
רָעִים?	רעים?	1
מאתיים	<deleted>	1
ואחד	<deleted>	1
אלף	281,000	1
מובטלים	מובטלים?	1
היא,	היא	1
וּכְשֶׁקָּרָאתִי	וכשקראתי	1
הָעִיתּוֹן	העיתון	1
נִמְלָא	נמלא	1
לִיבִּי	ליבי	1
יֵיאוּשׁ.	ייאוש.	1
פיטורין	פיטורין.	1
תקיפה	תקיפה.	1
ממנו	ממנו?	1
כן	כן.	1
עצום	עצום,	1
והתביעות	והתהיות	1
במיליונים	במיליונים.	1
לאריק	לארק	1
שרון	שרון,	1
ארדן	ארדן.	1
הרסנית	ירסנית.	1
ההתייקרויות	ההתייקרות	1
ושתים	<deleted>	1
עשרה	2012.	1
שנפסקו	שנפסקו.	1
חקירה	חקירה.	1
סובל	סבל	1
מעניין	בעניין	1
הדיור	הדיור?	1
<inserted>	כפר	1
כפר-שלם	שלם.	1
התרבותית,	התרבותית	1
החינוכית	החינוכית.	1
חזון	חזון.	1
וחמישים	<deleted>	1
אלף	150,000	1
מנות	מנות.	1
שצריך	שצריך.	1
הערביים	הערביים.	1
מעשים;	מעשים,	1
היפ	<deleted>	1
הופ,	היפ-הופ,	1
רגאטון,	רגיתון,	1
רית'ם	ריתם	1
אלקטרונית	אלקטרונית.	1
הזוטר	הזוטר.	1
בשבילו	בשבילו.	1
מתקבלים	מתקבלים.	1
תצא	תצא,	1
איזה	זה	1
הדיור	הדיור.	1
קונסרבטיבי	קונסרבטיבי.	1
מעניינת	מעניינת.	1
מיקרוספוט	מיקרוסופט	1
גיטהאב	גיטה	1
מליארדים	מיליארדים.	1
אוֹמְרִים,	<deleted>	1
יֵשׁ	אומרים	1
בָּעוֹלָם	יש	1
נְעוּרִים	בעולם	1
–	נעורים,	1
נְעוּרַי?	נעורי?	1
פתוח	פתוח.	1
למה:	למה,	1
אמר	אמר.	1
הקואליציה	הקואליציה.	1
שלא	<deleted>	1
-	שלא,	1
כזה	כזה...	1
שמיות	שמיות.	1
<inserted>	כשמגיעים	1
שמגיעים	לבית	1
לבית-הספר,	הספר,	1
מגיעים	מגיעים?	1
בעבר	בעבר.	1
בפאב	בפאב.	1
יגידו:	יגידו	1
בארבע	ב-4	1
חמש	5	1
שש	6.	1
גם	שגם	1
שאם	אם	1
מתקדמים	<deleted>	1
בשלושים	מתקדמים,	1
ואחד	ב-31	1
מאה	100	1
עובדים	עובדים.	1
ויעקוב	ויעקב	1
באו	באו.	1
בלילה,	בלילה	1
פתע	פטע,	1
וסבוך	וסבוך.	1
נקלטה	נקלטה.	1
הפילוסופיה	הפילוסופיה.	1
וחמש	1,500	1
מאות	בני	1
בני-אדם	אדם	1
גזע	גזע.	1
"חד""""ש"""""""	חדש	1
כּוֹלֶלֶת	כוללת	1
הֲמוֹן	המון	1
נְטָפִים	נטפים.	1
חמש	<deleted>	1
מאות	500	1
והפורענות	והפורענות.	1
הקוורטט	הקוורטט.	1
הכין	הכין.	1
עמיתי	אמיתי	1
מצוקה	מצוקה.	1
בית-המשפט	המשפט.	1
אומר:	אומר,	1
הצעה	הצעה.	1
בשדרות	בשדרות,	1
ליצלן	<deleted>	1
-	ליצלן,	1
תשובה	תשובה?	1
הציוני	הציוני,	1
<inserted>	ראשון	1
ראשון-לציון	לציון	1
פחות;	פחות,	1
נגבה	נגבה.	1
אמר:	אמר,	1
הבחירות	הבחירות.	1
לָמָּה	למה	1
שֶׁלֹּא	שלא	1
תֵּלֵךְ	תלך	1
לִישׁוֹן?	לישון?	1
לדוח	לדו״ח.	1
אשה	אישה	1
היריון	הריון.	1
הבנה	הבנה.	1
עקיפים	עקיפים.	1
רבין	רבין.	1
החום	החום.	1
לוחשים,	לוחשים	1
הקואליציה,	הקואליציה	1
סיעה,	סיעה	1
קואליציה,	קואליציה	1
סיעה	סיעה.	1
מונטריות	מוניטריות	1
כלכליות	כלכליות.	1
מכם	מכם.	1
"""""""כי"	כי	1
"""""תמות"	תמות	1
"פלשתים"""""	פלישתים	1
"האויב"""""""	האויב.	1
יהודי	יהודי,	1
"""""עויבד"""""""	אובד.	1
כשולחן	כשולחן.	1
מוקצב	מוקצב.	1
החדשה	החדשה.	1
להידרדרות	להידרדרות.	1
זְ֭קֵנִים	זקנים	1
בְּנֵ֣י	בני	1
בָנִ֑ים	בנים,	1
וְתִפְאֶ֖רֶת	ותפארת	1
בָּנִ֣ים	בנים	1
אֲבוֹתָֽם׃	אבותם.	1
מצביעים	מצביעים.	1
פוליטיים	פוליטיים.	1
כך	כך.	1
שנים	שנים.	1
"""הודיעה"	הודיעה	1
"""""רנואר"""""	רנוואר	1
"שלהם"""	שלהם.	1
ושלושה	<deleted>	1
אלף	23,000	1
לכזה	לחזה	1
מדרגה,	מדרגה	1
מוסרי	מוסרי.	1
כִּ֭י	אם	1
אִם־יֵ֣שׁ	יש	1
אַחֲרִ֑ית	אחרית	1
וְ֝תִקְוָתְךָ֗	ותקוותך	1
לֹ֣א	לא	1
תִכָּרֵֽת׃	תיכרת.	1
בודד	בודד.	1
אמרו:	אמרו,	1
בעצמנו	בעצמנו.	1
לפרפלגים	לפרפלגים.	1
החופשי	החופשי.	1
סוריים	סורים.	1
תִּפְאֶ֣רֶת	תפארת	1
שֵׂיבָ֑ה	שיבה,	1
בְּדֶ֥רֶךְ	בדרך	1
צְ֝דָקָ֗ה	צדקה	1
תִּמָּצֵֽא׃	תימצא.	1
עתירות	עתירות.	1
פְּעֻלּוֹת	פעולות	1
שֶׁהִתְכּוֹנַנּוּ	שהתכוננו	1
לַפֹּעַל.	לפועל.	1
<inserted>	הלא	1
הלא-קלים	קלים	1
הברזל	הברזל.	1
האשה	האישה.	1
"""""""ואנחנו"	ואנחנו	1
"הרס""""רים"	הרסארים	1
"הרב""""טים"	הרבתים	1
"הסמלים"""""""	הסמלים.	1
הבא	הבא.	1
למעשה	למעשה.	1
פרטי	פרטי.	1
מונע	מוני	1
דיכאון	הדיכאון.	1
בכעשרים	<deleted>	1
ושלוש	בכ-23	1
אגורות	אגורות,	1
בחצות	בחצות.	1
אט-אט;	אט-אט,	1
תוארו	תוארו.	1
סֵמֶל	סמל	1
לַתְּבוּנָה	לתבונה.	1
הטופוגרפיה	הטופוגרפיה.	1
המתבצעות	המתבצעת	1
מנהרות	מנהרות.	1
הרך	הרך.	1
הצורך	הצורך.	1
גדולה	גדולה.	1
אם	עם	1
השלטון	השלטון.	1
<inserted>	מזרח	1
מזרח-ירושלים	ירושלים	1
נימצא	נמצא.	1
בחרדה	בחרדה?	1
שיפוט	שיפוט.	1
אלימות	אלימות.	1
היהוּד	היהוד.	1
לדיון	לדיון.	1
העת,	העת	1
העובדות	העובדות.	1
דצמבר	דצמבר.	1
האנושית	האנושית.	1
<inserted>	עם,	1
עם;	אי	1
ובהרג	ובהרג.	1
באורח	באורך	1
המאבטח	המאבטח.	1
אחת	אחת.	1
קשיים	קשיים.	1
הלובי	הלובי,	1
קדאפי	קדאפי,	1
בעמדותיו	בעמדותיו.	1
ובאדמתנו	ובאדמתנו.	1
הקרוב	הקרוב.	1
ייטול	יטול	1
חלק	חלק.	1
בצדק:	בצדק,	1
אני	אני?	1
<inserted>	הציבורי	1
הציבורי,	–	1
מציעים	מציעים.	1
<inserted>	לב	1
לֵ֗ב	יודע	1
י֭וֹדֵעַ	מרת	1
מָרַּ֣ת	נפשו,	1
נַפְשׁ֑וֹ	ובשמחתו	1
וּ֝בְשִׂמְחָת֗וֹ	לא	1
לֹא־יִתְעָ֥רַב	התערב	1
זָֽר׃	זר.	1
אֶפְרַיִם,	אפרים,	1
רוֹצֶה	רוצה	1
לְהַגִּיד	להגיד	1
מַשֶּׁהוּ.	משהו.	1
שבעניינים	שבניינים	1
איילון	איילון.	1
לַעֲשׂוֹת.	לעשות.	1
שֶׁהַכֹּל	שהכל	1
חַי	חי	1
וְצוֹהֵל	וצוהל	1
לִקְרַאת	לקראת	1
הַזֶּה,	הזה,	1
הָאֶחָד	האחד	1
הַחוֹרֶף	החורף.	1
עמוקה	עמוקה.	1
עַתָּה	<deleted>	1
אֵין	אתה	1
לִי	אין	1
כְלוּם	לי	1
בָּעוֹלָם	כלום	1
–	בעולם,	1
דָבָר.	דבר.	1
לִפְנֵי	לפני	1
כִּשְׁבוּעַיִם	כשבועיים	1
גִּלִּינוּ	גילינו	1
לוּחַ	לוח	1
אֶבֶן	אבן	1
שֶׁחָקוּק	שחקוק	1
בִּכְתָב	בכתב	1
צִידוֹנִי	צידוני	1
תַּרְשִׁים	תרשים	1
מִקְדָּשׁ	מקדש.	1
לעתים	לעיתים	1
הזויים	הזויים.	1
סאטירית,	סאטירית	1
ריאלית	ריאלית.	1
רְכִיבָה	רכיבה	1
בִּמְלֹא	במלוא	1
הַמִילָה.	המילה.	1
מצוות	מצוות.	1
חָשְׁבוּ	חשבו	1
הָרְגוּ	הרגנו	1
הַמַּחְלָקָה.	המחלקה.	1
אַחֲרַי	אחריי	1
לַחֲפִירוֹת.	לחפירות,	1
כֻּלָּם	כולם	1
מִשְׁתַּגְּעִים	משתגעים	1
מִשִּׂמְחָה.	משמחה.	1
לָאֲנָשִׁים,	לאנשים,	1
אוּלָם	אולם	1
קָרוֹב	קרוב	1
לָאֲדָמָה.	לאדמה.	1
תְּנוּ	תנו	1
לְדַבֵּר	לדבר	1
הָרוּחוֹת	הרוחות.	1
מלים	מילים	1
ההרגשות	הרגשות	1
לעמק	לעמק.	1
הממשל	הממשל.	1
באיטליה	באיטליה.	1
בנחל	בנחל.	1
באמריקה?!	באמריקה,	1
מי	<deleted>	1
הנך	מינך	1
<inserted>	בהר	1
בהר-הבית	הבית.	1
אַךְ	אך	1
יַפְנֶה	יפנה	1
מֶבָּטוֹ	מבטו	1
אֶל	אל	1
עֶבְרִי.	עברי.	1
שָׁנָה	שנה	1
פְּרָחִים	פרחים	1
יְפֵהפִיִּים.	יפהפיים.	1
מִן	מן	1
טְבֶרְיָה	טבריה	1
הָעִיר	העיר	1
וְעַד	ועד	1
לַדֶּרֶךְ	לדרך	1
הַצְּדָדִית	הצדדית	1
הַמִּתְרוֹמֶמֶת	המתרוממת	1
לְבֵין	לבין	1
הֶהָרִים	הערים	1
שֶׁבְּתוֹכָם	שבתוכם	1
שֶׁכֵּן	שכן	1
הַכְּפָר.	הכפר.	1
מאוד.	מאוד,	1
אִתִּי,	איתי	1
אִתִּי	איתי	1
עשרה	13	1
לתוקף	לתוקף.	1
זוֹרְחִים	זורחים	1
כּוֹכָבִים	כוכבים.	1
<inserted>	אתה	1
אַתָּה	צריך	1
צָרִיךְ	להבין	1
לְהָבִין,	כי	1
כִּי	אין	1
אֵין	האנשים	1
הָאֲנָשִׁים	המחפשים	1
הַמְחַפְּשִׂים	יהלומים	1
יַהֲלוֹמִים	כשאר	1
כִּשְׁאָר	בני	1
בְּנֵי־הָאָדָם.	אדם.	1
פִּתְאוֹם	פתאום	1
הִתְעוֹרֵר,	התעורר	1
כֻּולּוֹ	כולו	1
נִפְחָד,	נפחד	1
כְּשֶׁיָּדוֹ	כשידו	1
הָאַחַת	האחת	1
מְגָרֶדֶת	מגרדת	1
הֶחָזֶה	החזה	1
וְשׁוֹאֵל:	ושואל,	1
הַשָּׁעָה?	השעה?	1
"""""""אֵין"	אין	1
גּוֹיִים	גויים	1
בְּאֶרֶץ	בארץ	1
"יִשְׂרָאֵל,"""""	ישראל,	1
אַמְנוֹן,	אמנון,	1
"""""וְאֵין"	ואין	1
אָנוּ	אנו	1
מְפַחֲדִים	מפחדים	1
"גּוֹיִים."""""""	גויים.	1
<inserted>	אומר	1
אומרת	את	1
<inserted>	כותב	1
כותבת	את	1
יומן,	יומן	1
חדשות	חדשות.	1
אֲפִילוּ	אפילו	1
לִי,	לי	1
שֶאֲנִי	שאני	1
חֲדָשִים	חודשים	1
אֲחָדִים	אחדים	1
חַיָה	חיה	1
בְּצוּרָה	בצורה	1
זוֹ	זו.	1
קבועה	קבועה.	1
כֵּן,	כן,	1
